Name:                         /Users/sungbeenpark/github/fs_LR_32/AAL.32k.L.label.gii
Type:                         Label
Structure:                    CortexLeft 
Metadata Start:               -----------
AnatomicalStructurePrimary:   CortexLeft
encoding:                     XML_BASE64_GZIP
Metadata End:                 -----------
Data Size:                    129.97 Kilobytes
Maps to Surface:              true
Maps to Volume:               false
Maps with LabelTable:         true
Maps with Palette:            false
Number of Maps:               1
Number of Vertices:           32492

Map   Map Name   
  1   col_1      

Label table for ALL maps
       KEY   NAME         RED   GREEN    BLUE   ALPHA   
         0   label-1    0.500   0.500   0.000   1.000   
         1   label-2    0.500   1.000   0.000   1.000   
         2   label-3    1.000   0.500   0.000   1.000   
         3   label-4    1.000   1.000   0.000   1.000   
         4   label-5    0.000   0.500   0.500   1.000   
         5   label-6    0.000   1.000   0.500   1.000   
         6   label-7    0.500   0.000   0.500   1.000   
         7   label-8    0.500   1.000   0.500   1.000   
         8   label-9    1.000   0.000   0.500   1.000   
         9   label-10   1.000   0.500   0.500   1.000   
        10   label-11   1.000   1.000   0.500   1.000   
        11   label-12   0.000   0.500   1.000   1.000   
        12   label-13   0.000   1.000   1.000   1.000   
        13   label-14   0.500   0.000   1.000   1.000   
        14   label-15   0.500   0.500   1.000   1.000   
        15   label-16   0.500   1.000   1.000   1.000   
        16   label-17   1.000   0.000   1.000   1.000   
        17   label-18   1.000   0.500   1.000   1.000   
        18   label-19   0.200   0.000   0.000   1.000   
        19   label-20   0.400   0.000   0.000   1.000   
        20   label-21   0.600   0.000   0.000   1.000   
        21   label-22   0.800   0.000   0.000   1.000   
        22   label-23   1.000   0.000   0.000   1.000   
        23   label-24   0.000   0.200   0.000   1.000   
        24   label-25   0.000   0.400   0.000   1.000   
        25   label-26   0.000   0.600   0.000   1.000   
        26   label-27   0.000   0.800   0.000   1.000   
        27   label-28   0.000   1.000   0.000   1.000   
        28   label-29   0.000   0.000   0.200   1.000   
        29   label-30   0.000   0.000   0.400   1.000   
        30   label-31   0.000   0.000   0.600   1.000   
        31   label-32   0.000   0.000   0.800   1.000   
        32   label-33   0.000   0.000   1.000   1.000   
        33   label-34   0.000   0.000   0.000   1.000   
        34   label-35   0.125   0.125   0.125   1.000   
        35   label-36   0.250   0.250   0.250   1.000   
        36   label-37   0.375   0.375   0.375   1.000   
        37   label-38   0.500   0.500   0.500   1.000   
        38   label-39   0.625   0.625   0.625   1.000   
        39   label-40   0.750   0.750   0.750   1.000   
        40   label-41   0.875   0.875   0.875   1.000   
        41   label-42   1.000   1.000   1.000   1.000   


