Name:                         ./Baldassano.32k.L.label.gii
Type:                         Label
Structure:                    CortexLeft 
Metadata Start:               -----------
AnatomicalStructurePrimary:   CortexLeft
encoding:                     XML_BASE64_GZIP
Metadata End:                 -----------
Data Size:                    129.97 Kilobytes
Maps to Surface:              true
Maps to Volume:               false
Maps with LabelTable:         true
Maps with Palette:            false
Number of Maps:               1
Number of Vertices:           32492

Map   Map Name   
  1   col_1      

Label table for ALL maps
       KEY   NAME         RED   GREEN    BLUE   ALPHA   
         0   label-1    0.333   0.333   0.000   1.000   
         1   label-2    0.333   0.667   0.000   1.000   
         2   label-3    0.333   1.000   0.000   1.000   
         3   label-4    0.667   0.333   0.000   1.000   
         4   label-5    0.667   0.667   0.000   1.000   
         5   label-6    0.667   1.000   0.000   1.000   
         6   label-7    1.000   0.333   0.000   1.000   
         7   label-8    1.000   0.667   0.000   1.000   
         8   label-9    1.000   1.000   0.000   1.000   
         9   label-10   0.000   0.333   0.333   1.000   
        10   label-11   0.000   0.667   0.333   1.000   
        11   label-12   0.000   1.000   0.333   1.000   
        12   label-13   0.333   0.000   0.333   1.000   
        13   label-14   0.333   0.667   0.333   1.000   
        14   label-15   0.333   1.000   0.333   1.000   
        15   label-16   0.667   0.000   0.333   1.000   
        16   label-17   0.667   0.333   0.333   1.000   
        17   label-18   0.667   0.667   0.333   1.000   
        18   label-19   0.667   1.000   0.333   1.000   
        19   label-20   1.000   0.000   0.333   1.000   
        20   label-21   1.000   0.333   0.333   1.000   
        21   label-22   1.000   0.667   0.333   1.000   
        22   label-23   1.000   1.000   0.333   1.000   
        23   label-24   0.000   0.333   0.667   1.000   
        24   label-25   0.000   0.667   0.667   1.000   
        25   label-26   0.000   1.000   0.667   1.000   
        26   label-27   0.333   0.000   0.667   1.000   
        27   label-28   0.333   0.333   0.667   1.000   
        28   label-29   0.333   0.667   0.667   1.000   
        29   label-30   0.333   1.000   0.667   1.000   
        30   label-31   0.667   0.000   0.667   1.000   
        31   label-32   0.667   0.333   0.667   1.000   
        32   label-33   0.667   1.000   0.667   1.000   
        33   label-34   1.000   0.000   0.667   1.000   
        34   label-35   1.000   0.333   0.667   1.000   
        35   label-36   1.000   0.667   0.667   1.000   
        36   label-37   1.000   1.000   0.667   1.000   
        37   label-38   0.000   0.333   1.000   1.000   
        38   label-39   0.000   0.667   1.000   1.000   
        39   label-40   0.000   1.000   1.000   1.000   
        40   label-41   0.333   0.000   1.000   1.000   
        41   label-42   0.333   0.333   1.000   1.000   
        42   label-43   0.333   0.667   1.000   1.000   
        43   label-44   0.333   1.000   1.000   1.000   
        44   label-45   0.667   0.000   1.000   1.000   
        45   label-46   0.667   0.333   1.000   1.000   
        46   label-47   0.667   0.667   1.000   1.000   
        47   label-48   0.667   1.000   1.000   1.000   
        48   label-49   1.000   0.000   1.000   1.000   
        49   label-50   1.000   0.333   1.000   1.000   
        50   label-51   1.000   0.667   1.000   1.000   
        51   label-52   0.125   0.000   0.000   1.000   
        52   label-53   0.250   0.000   0.000   1.000   
        53   label-54   0.375   0.000   0.000   1.000   
        54   label-55   0.500   0.000   0.000   1.000   
        55   label-56   0.625   0.000   0.000   1.000   
        56   label-57   0.750   0.000   0.000   1.000   
        57   label-58   0.875   0.000   0.000   1.000   
        58   label-59   1.000   0.000   0.000   1.000   
        59   label-60   0.000   0.125   0.000   1.000   
        60   label-61   0.000   0.250   0.000   1.000   
        61   label-62   0.000   0.375   0.000   1.000   
        62   label-63   0.000   0.500   0.000   1.000   
        63   label-64   0.000   0.625   0.000   1.000   
        64   label-65   0.000   0.750   0.000   1.000   
        65   label-66   0.000   0.875   0.000   1.000   
        66   label-67   0.000   1.000   0.000   1.000   
        67   label-68   0.000   0.000   0.125   1.000   
        68   label-69   0.000   0.000   0.250   1.000   
        69   label-70   0.000   0.000   0.375   1.000   
        70   label-71   0.000   0.000   0.500   1.000   
        71   label-72   0.000   0.000   0.625   1.000   
        72   label-73   0.000   0.000   0.750   1.000   
        73   label-74   0.000   0.000   0.875   1.000   
        74   label-75   0.000   0.000   1.000   1.000   
        75   label-76   0.000   0.000   0.000   1.000   
        76   label-77   0.111   0.111   0.111   1.000   
        77   label-78   0.222   0.222   0.222   1.000   
        78   label-79   0.333   0.333   0.333   1.000   
        79   label-80   0.444   0.444   0.444   1.000   
        80   label-81   0.556   0.556   0.556   1.000   
        81   label-82   0.667   0.667   0.667   1.000   
        82   label-83   0.778   0.778   0.778   1.000   
        83   label-84   0.889   0.889   0.889   1.000   
        84   label-85   1.000   1.000   1.000   1.000   


