	KEY	NAME	RED	GREEN	BLUE	ALPHA	
	0	unknown	0.098	0.020	0.098	1.000	
	1	bankssts	0.098	0.391	0.156	1.000	
	2	caudalanteriorcingulate	0.488	0.391	0.625	1.000	
	3	caudalmiddlefrontal	0.391	0.098	0.000	1.000	
	4	corpuscallosum	0.469	0.273	0.195	1.000	
	5	cuneus	0.859	0.078	0.391	1.000	
	6	entorhinal	0.859	0.078	0.039	1.000	
	7	fusiform	0.703	0.859	0.547	1.000	
	8	inferiorparietal	0.859	0.234	0.859	1.000	
	9	inferiortemporal	0.703	0.156	0.469	1.000	
	10	isthmuscingulate	0.547	0.078	0.547	1.000	
	11	lateraloccipital	0.078	0.117	0.547	1.000	
	12	lateralorbitofrontal	0.137	0.293	0.195	1.000	
	13	lingual	0.879	0.547	0.547	1.000	
	14	medialorbitofrontal	0.781	0.137	0.293	1.000	
	15	middletemporal	0.625	0.391	0.195	1.000	
	16	parahippocampal	0.078	0.859	0.234	1.000	
	17	paracentral	0.234	0.859	0.234	1.000	
	18	parsopercularis	0.859	0.703	0.547	1.000	
	19	parsorbitalis	0.078	0.391	0.195	1.000	
	20	parstriangularis	0.859	0.234	0.078	1.000	
	21	pericalcarine	0.469	0.391	0.234	1.000	
	22	postcentral	0.859	0.078	0.078	1.000	
	23	posteriorcingulate	0.859	0.703	0.859	1.000	
	24	precentral	0.234	0.078	0.859	1.000	
	25	precuneus	0.625	0.547	0.703	1.000	
	26	rostralanteriorcingulate	0.313	0.078	0.547	1.000	
	27	rostralmiddlefrontal	0.293	0.195	0.488	1.000	
	28	superiorfrontal	0.078	0.859	0.625	1.000	
	29	superiorparietal	0.078	0.703	0.547	1.000	
	30	superiortemporal	0.547	0.859	0.859	1.000	
	31	supramarginal	0.313	0.625	0.078	1.000	
	32	frontalpole	0.391	0.000	0.391	1.000	
	33	temporalpole	0.273	0.078	0.664	1.000	
	34	transversetemporal	0.586	0.586	0.781	1.000	
	35	insula	0.996	0.750	0.125	1.000	
