	KEY	NAME	RED	GREEN	BLUE	ALPHA	
	0	???	1.000	1.000	1.000	0.000	
	1	L_V1_ROI	0.247	0.020	1.000	1.000	
	2	L_MST_ROI	0.212	0.404	0.506	1.000	
	3	L_V6_ROI	0.243	0.306	0.698	1.000	
	4	L_V2_ROI	0.090	0.196	0.914	1.000	
	5	L_V3_ROI	0.059	0.157	0.886	1.000	
	6	L_V4_ROI	0.055	0.110	0.839	1.000	
	7	L_V8_ROI	0.102	0.184	0.788	1.000	
	8	L_4_ROI	0.129	0.698	0.078	1.000	
	9	L_3b_ROI	0.137	0.804	0.082	1.000	
	10	L_FEF_ROI	0.525	0.561	0.537	1.000	
	11	L_PEF_ROI	0.553	0.651	0.596	1.000	
	12	L_55b_ROI	0.243	0.345	0.184	1.000	
	13	L_V3A_ROI	0.027	0.224	0.965	1.000	
	14	L_RSC_ROI	0.600	0.251	0.522	1.000	
	15	L_POS2_ROI	0.729	0.337	0.737	1.000	
	16	L_V7_ROI	0.071	0.275	0.765	1.000	
	17	L_IPS1_ROI	0.224	0.447	0.627	1.000	
	18	L_FFC_ROI	0.224	0.349	0.459	1.000	
	19	L_V3B_ROI	0.098	0.184	0.808	1.000	
	20	L_LO1_ROI	0.000	0.192	0.722	1.000	
	21	L_LO2_ROI	0.071	0.129	0.710	1.000	
	22	L_PIT_ROI	0.133	0.169	0.671	1.000	
	23	L_MT_ROI	0.122	0.337	0.408	1.000	
	24	L_A1_ROI	0.922	0.075	0.184	1.000	
	25	L_PSL_ROI	0.478	0.310	0.220	1.000	
	26	L_SFL_ROI	0.122	0.192	0.086	1.000	
	27	L_PCV_ROI	0.541	0.502	0.600	1.000	
	28	L_STV_ROI	0.557	0.341	0.298	1.000	
	29	L_7Pm_ROI	0.584	0.710	0.737	1.000	
	30	L_7m_ROI	0.165	0.122	0.173	1.000	
	31	L_POS1_ROI	0.318	0.212	0.384	1.000	
	32	L_23d_ROI	0.498	0.220	0.357	1.000	
	33	L_v23ab_ROI	0.114	0.000	0.055	1.000	
	34	L_d23ab_ROI	0.247	0.067	0.184	1.000	
	35	L_31pv_ROI	0.212	0.043	0.165	1.000	
	36	L_5m_ROI	0.188	0.639	0.188	1.000	
	37	L_5mv_ROI	0.600	0.675	0.533	1.000	
	38	L_23c_ROI	0.804	0.745	0.761	1.000	
	39	L_5L_ROI	0.251	0.604	0.251	1.000	
	40	L_24dd_ROI	0.271	0.631	0.173	1.000	
	41	L_24dv_ROI	0.467	0.624	0.259	1.000	
	42	L_7AL_ROI	0.451	0.761	0.525	1.000	
	43	L_SCEF_ROI	0.431	0.573	0.337	1.000	
	44	L_6ma_ROI	0.565	0.702	0.529	1.000	
	45	L_7Am_ROI	0.722	0.953	0.878	1.000	
	46	L_7PL_ROI	0.663	0.965	0.929	1.000	
	47	L_7PC_ROI	0.267	0.694	0.424	1.000	
	48	L_LIPv_ROI	0.247	0.443	0.620	1.000	
	49	L_VIP_ROI	0.196	0.506	0.537	1.000	
	50	L_MIP_ROI	0.533	0.808	0.800	1.000	
	51	L_1_ROI	0.078	0.749	0.149	1.000	
	52	L_2_ROI	0.188	0.690	0.243	1.000	
	53	L_3a_ROI	0.184	0.847	0.086	1.000	
	54	L_6d_ROI	0.102	0.620	0.125	1.000	
	55	L_6mp_ROI	0.251	0.624	0.149	1.000	
	56	L_6v_ROI	0.278	0.659	0.196	1.000	
	57	L_p24pr_ROI	0.573	0.533	0.420	1.000	
	58	L_33pr_ROI	0.506	0.416	0.404	1.000	
	59	L_a24pr_ROI	0.690	0.522	0.510	1.000	
	60	L_p32pr_ROI	0.639	0.557	0.475	1.000	
	61	L_a24_ROI	0.263	0.047	0.098	1.000	
	62	L_d32_ROI	0.353	0.161	0.196	1.000	
	63	L_8BM_ROI	0.412	0.325	0.318	1.000	
	64	L_p32_ROI	0.373	0.125	0.204	1.000	
	65	L_10r_ROI	0.098	0.047	0.004	1.000	
	66	L_47m_ROI	0.376	0.294	0.259	1.000	
	67	L_8Av_ROI	0.208	0.212	0.169	1.000	
	68	L_8Ad_ROI	0.247	0.263	0.188	1.000	
	69	L_9m_ROI	0.169	0.137	0.071	1.000	
	70	L_8BL_ROI	0.133	0.153	0.078	1.000	
	71	L_9p_ROI	0.149	0.169	0.110	1.000	
	72	L_10d_ROI	0.149	0.137	0.094	1.000	
	73	L_8C_ROI	0.396	0.333	0.329	1.000	
	74	L_44_ROI	0.345	0.345	0.243	1.000	
	75	L_45_ROI	0.235	0.247	0.165	1.000	
	76	L_47l_ROI	0.200	0.192	0.122	1.000	
	77	L_a47r_ROI	0.302	0.298	0.259	1.000	
	78	L_6r_ROI	0.698	0.839	0.592	1.000	
	79	L_IFJa_ROI	0.494	0.467	0.373	1.000	
	80	L_IFJp_ROI	0.537	0.627	0.518	1.000	
	81	L_IFSp_ROI	0.380	0.384	0.341	1.000	
	82	L_IFSa_ROI	0.737	0.788	0.698	1.000	
	83	L_p9-46v_ROI	0.541	0.584	0.525	1.000	
	84	L_46_ROI	0.812	0.851	0.784	1.000	
	85	L_a9-46v_ROI	0.569	0.439	0.502	1.000	
	86	L_9-46d_ROI	0.549	0.459	0.514	1.000	
	87	L_9a_ROI	0.216	0.204	0.176	1.000	
	88	L_10v_ROI	0.055	0.137	0.055	1.000	
	89	L_a10p_ROI	0.384	0.294	0.349	1.000	
	90	L_10pp_ROI	0.216	0.243	0.227	1.000	
	91	L_11l_ROI	0.506	0.416	0.463	1.000	
	92	L_13l_ROI	0.322	0.235	0.271	1.000	
	93	L_OFC_ROI	0.157	0.137	0.122	1.000	
	94	L_47s_ROI	0.259	0.137	0.129	1.000	
	95	L_LIPd_ROI	0.608	0.706	0.792	1.000	
	96	L_6a_ROI	0.475	0.753	0.533	1.000	
	97	L_i6-8_ROI	0.353	0.384	0.325	1.000	
	98	L_s6-8_ROI	0.345	0.361	0.286	1.000	
	99	L_43_ROI	0.569	0.541	0.251	1.000	
	100	L_OP4_ROI	0.447	0.616	0.192	1.000	
	101	L_OP1_ROI	0.388	0.620	0.137	1.000	
	102	L_OP2-3_ROI	0.569	0.498	0.204	1.000	
	103	L_52_ROI	0.816	0.282	0.259	1.000	
	104	L_RI_ROI	0.698	0.239	0.090	1.000	
	105	L_PFcm_ROI	0.745	0.565	0.349	1.000	
	106	L_PoI2_ROI	0.514	0.486	0.325	1.000	
	107	L_TA2_ROI	0.510	0.165	0.106	1.000	
	108	L_FOP4_ROI	0.714	0.580	0.506	1.000	
	109	L_MI_ROI	0.616	0.455	0.416	1.000	
	110	L_Pir_ROI	0.353	0.259	0.255	1.000	
	111	L_AVI_ROI	0.553	0.282	0.325	1.000	
	112	L_AAIC_ROI	0.333	0.137	0.173	1.000	
	113	L_FOP1_ROI	0.627	0.600	0.345	1.000	
	114	L_FOP3_ROI	0.686	0.537	0.388	1.000	
	115	L_FOP2_ROI	0.388	0.612	0.200	1.000	
	116	L_PFt_ROI	0.506	0.871	0.525	1.000	
	117	L_AIP_ROI	0.533	0.863	0.651	1.000	
	118	L_EC_ROI	0.192	0.188	0.137	1.000	
	119	L_PreS_ROI	0.337	0.224	0.325	1.000	
	120	L_H_ROI	0.235	0.224	0.157	1.000	
	121	L_ProS_ROI	0.341	0.231	0.690	1.000	
	122	L_PeEc_ROI	0.239	0.243	0.200	1.000	
	123	L_STGa_ROI	0.227	0.165	0.102	1.000	
	124	L_PBelt_ROI	0.765	0.118	0.020	1.000	
	125	L_A5_ROI	0.388	0.153	0.024	1.000	
	126	L_PHA1_ROI	0.271	0.196	0.294	1.000	
	127	L_PHA3_ROI	0.376	0.400	0.443	1.000	
	128	L_STSda_ROI	0.302	0.200	0.133	1.000	
	129	L_STSdp_ROI	0.286	0.224	0.153	1.000	
	130	L_STSvp_ROI	0.278	0.231	0.224	1.000	
	131	L_TGd_ROI	0.137	0.133	0.090	1.000	
	132	L_TE1a_ROI	0.043	0.055	0.000	1.000	
	133	L_TE1p_ROI	0.376	0.400	0.369	1.000	
	134	L_TE2a_ROI	0.263	0.251	0.227	1.000	
	135	L_TF_ROI	0.251	0.282	0.220	1.000	
	136	L_TE2p_ROI	0.412	0.502	0.459	1.000	
	137	L_PHT_ROI	0.851	0.988	0.875	1.000	
	138	L_PH_ROI	0.345	0.514	0.639	1.000	
	139	L_TPOJ1_ROI	0.490	0.353	0.251	1.000	
	140	L_TPOJ2_ROI	0.612	0.635	0.541	1.000	
	141	L_TPOJ3_ROI	0.475	0.580	0.569	1.000	
	142	L_DVT_ROI	0.471	0.439	0.745	1.000	
	143	L_PGp_ROI	0.608	0.745	0.894	1.000	
	144	L_IP2_ROI	0.690	0.651	0.682	1.000	
	145	L_IP1_ROI	0.463	0.475	0.502	1.000	
	146	L_IP0_ROI	0.439	0.627	0.812	1.000	
	147	L_PFop_ROI	0.733	0.804	0.569	1.000	
	148	L_PF_ROI	1.000	1.000	0.886	1.000	
	149	L_PFm_ROI	0.522	0.412	0.447	1.000	
	150	L_PGi_ROI	0.208	0.243	0.180	1.000	
	151	L_PGs_ROI	0.243	0.263	0.224	1.000	
	152	L_V6A_ROI	0.161	0.349	0.651	1.000	
	153	L_VMV1_ROI	0.243	0.239	0.608	1.000	
	154	L_VMV3_ROI	0.192	0.208	0.624	1.000	
	155	L_PHA2_ROI	0.345	0.353	0.349	1.000	
	156	L_V4t_ROI	0.055	0.310	0.502	1.000	
	157	L_FST_ROI	0.361	0.616	0.600	1.000	
	158	L_V3CD_ROI	0.059	0.180	0.714	1.000	
	159	L_LO3_ROI	0.212	0.369	0.627	1.000	
	160	L_VMV2_ROI	0.263	0.243	0.631	1.000	
	161	L_31pd_ROI	0.220	0.086	0.176	1.000	
	162	L_31a_ROI	0.561	0.412	0.522	1.000	
	163	L_VVC_ROI	0.208	0.239	0.486	1.000	
	164	L_25_ROI	0.141	0.094	0.055	1.000	
	165	L_s32_ROI	0.180	0.137	0.082	1.000	
	166	L_pOFC_ROI	0.298	0.188	0.208	1.000	
	167	L_PoI1_ROI	0.643	0.408	0.380	1.000	
	168	L_Ig_ROI	0.431	0.482	0.141	1.000	
	169	L_FOP5_ROI	0.639	0.400	0.412	1.000	
	170	L_p10p_ROI	0.349	0.251	0.298	1.000	
	171	L_p47r_ROI	0.494	0.482	0.439	1.000	
	172	L_TGv_ROI	0.180	0.200	0.165	1.000	
	173	L_MBelt_ROI	0.733	0.118	0.094	1.000	
	174	L_LBelt_ROI	0.914	0.071	0.106	1.000	
	175	L_A4_ROI	0.596	0.153	0.016	1.000	
	176	L_STSva_ROI	0.157	0.129	0.086	1.000	
	177	L_TE1m_ROI	0.231	0.176	0.169	1.000	
	178	L_PI_ROI	0.478	0.196	0.196	1.000	
	179	L_a32pr_ROI	0.510	0.247	0.341	1.000	
	180	L_p24_ROI	0.482	0.137	0.290	1.000	
