	KEY	NAME	RED	GREEN	BLUE	ALPHA	
	0	label-1	0.250	0.250	0.000	1.000	
	1	label-2	0.250	0.500	0.000	1.000	
	2	label-3	0.250	0.750	0.000	1.000	
	3	label-4	0.250	1.000	0.000	1.000	
	4	label-5	0.500	0.250	0.000	1.000	
	5	label-6	0.500	0.500	0.000	1.000	
	6	label-7	0.500	0.750	0.000	1.000	
	7	label-8	0.500	1.000	0.000	1.000	
	8	label-9	0.750	0.250	0.000	1.000	
	9	label-10	0.750	0.500	0.000	1.000	
	10	label-11	0.750	0.750	0.000	1.000	
	11	label-12	0.750	1.000	0.000	1.000	
	12	label-13	1.000	0.250	0.000	1.000	
	13	label-14	1.000	0.500	0.000	1.000	
	14	label-15	1.000	0.750	0.000	1.000	
	15	label-16	1.000	1.000	0.000	1.000	
	16	label-17	0.000	0.250	0.250	1.000	
	17	label-18	0.000	0.500	0.250	1.000	
	18	label-19	0.000	0.750	0.250	1.000	
	19	label-20	0.000	1.000	0.250	1.000	
	20	label-21	0.250	0.000	0.250	1.000	
	21	label-22	0.250	0.500	0.250	1.000	
	22	label-23	0.250	0.750	0.250	1.000	
	23	label-24	0.250	1.000	0.250	1.000	
	24	label-25	0.500	0.000	0.250	1.000	
	25	label-26	0.500	0.250	0.250	1.000	
	26	label-27	0.500	0.500	0.250	1.000	
	27	label-28	0.500	0.750	0.250	1.000	
	28	label-29	0.500	1.000	0.250	1.000	
	29	label-30	0.750	0.000	0.250	1.000	
	30	label-31	0.750	0.250	0.250	1.000	
	31	label-32	0.750	0.500	0.250	1.000	
	32	label-33	0.750	0.750	0.250	1.000	
	33	label-34	0.750	1.000	0.250	1.000	
	34	label-35	1.000	0.000	0.250	1.000	
	35	label-36	1.000	0.250	0.250	1.000	
	36	label-37	1.000	0.500	0.250	1.000	
	37	label-38	1.000	0.750	0.250	1.000	
	38	label-39	1.000	1.000	0.250	1.000	
	39	label-40	0.000	0.250	0.500	1.000	
	40	label-41	0.000	0.500	0.500	1.000	
	41	label-42	0.000	0.750	0.500	1.000	
	42	label-43	0.000	1.000	0.500	1.000	
	43	label-44	0.250	0.000	0.500	1.000	
	44	label-45	0.250	0.250	0.500	1.000	
	45	label-46	0.250	0.500	0.500	1.000	
	46	label-47	0.250	0.750	0.500	1.000	
	47	label-48	0.250	1.000	0.500	1.000	
	48	label-49	0.500	0.000	0.500	1.000	
	49	label-50	0.500	0.250	0.500	1.000	
	50	label-51	0.500	0.750	0.500	1.000	
	51	label-52	0.500	1.000	0.500	1.000	
	52	label-53	0.750	0.000	0.500	1.000	
	53	label-54	0.750	0.250	0.500	1.000	
	54	label-55	0.750	0.500	0.500	1.000	
	55	label-56	0.750	0.750	0.500	1.000	
	56	label-57	0.750	1.000	0.500	1.000	
	57	label-58	1.000	0.000	0.500	1.000	
	58	label-59	1.000	0.250	0.500	1.000	
	59	label-60	1.000	0.500	0.500	1.000	
	60	label-61	1.000	0.750	0.500	1.000	
	61	label-62	1.000	1.000	0.500	1.000	
	62	label-63	0.000	0.250	0.750	1.000	
	63	label-64	0.000	0.500	0.750	1.000	
	64	label-65	0.000	0.750	0.750	1.000	
	65	label-66	0.000	1.000	0.750	1.000	
	66	label-67	0.250	0.000	0.750	1.000	
	67	label-68	0.250	0.250	0.750	1.000	
