       KEY   NAME     RED   GREEN    BLUE   ALPHA   
         0          0.000   0.000   0.000   0.000   
         1   V1v    0.615   0.000   1.000   1.000   
         2   V1d    0.615   1.000   0.000   1.000   
         3   V2v    0.000   1.000   0.308   1.000   
         4   V2d    0.385   0.000   1.000   1.000   
         5   V3v    0.385   1.000   0.000   1.000   
         6   V3d    1.000   0.000   0.462   1.000   
         7   hV4    1.000   0.000   0.231   1.000   
         8   VO1    0.000   1.000   1.000   1.000   
         9   VO2    0.000   1.000   0.538   1.000   
        10   PHC1   0.846   1.000   0.000   1.000   
        11   PHC2   0.154   0.000   1.000   1.000   
        12   TO2    1.000   0.000   0.000   1.000   
        13   TO1    0.000   0.538   1.000   1.000   
        14   LO2    1.000   0.000   0.923   1.000   
        15   LO1    0.000   1.000   0.077   1.000   
        16   V3B    1.000   0.000   0.692   1.000   
        17   V3A    0.846   0.000   1.000   1.000   
        18   IPS0   0.154   1.000   0.000   1.000   
        19   IPS1   1.000   0.692   0.000   1.000   
        20   IPS2   0.000   0.308   1.000   1.000   
        21   IPS3   0.000   1.000   0.769   1.000   
        22   IPS4   0.000   0.769   1.000   1.000   
        23   IPS5   1.000   0.923   0.000   1.000   
        24   SPL1   1.000   0.231   0.000   1.000   
        25   FEF    0.000   0.077   1.000   1.000   
