BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	1	1	5	1000	8020.000	8020.867	9	20.867	3	5	1	2	4	35124	0	1000	0.000	2656.000	0	3	5	0	0	0	3660.000	4002.000	0.000	0.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	2	1	5	1000	13020.000	13020.868	14	20.868	3	5	1	2	4	35124	0	1000	0.000	190.000	1	4	5	1	0	0	2064.000	3276.000	3818.000	0.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	3	0	5	1000	18020.000	18020.879	19	20.879	1	4	5	2	3	14523	0	1000	2370.000	98.000	1	4	4	5	2	3	1360.000	2232.000	2612.000	3202.000	3512.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	4	0	5	1000	23020.000	23020.867	24	20.867	1	3	2	5	4	13254	0	1000	0.000	436.000	1	1	4	2	5	0	1460.000	1880.000	3056.000	3834.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	5	1	5	1000	28020.000	28020.866	29	20.866	1	3	2	5	4	13254	0	1000	2278.000	328.000	1	1	3	2	4	5	1332.000	2040.000	2394.000	2700.000	3356.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	6	0	5	1000	33020.000	33020.899	34	20.899	3	5	1	2	4	35124	0	1000	2054.000	306.000	0	3	5	1	2	4	1310.000	1560.000	2352.000	2670.000	3162.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	7	0	5	1000	38020.000	38020.857	39	20.857	1	3	2	5	4	13254	0	1000	0.000	626.000	1	1	4	2	5	2	1630.000	1986.000	2788.000	3512.000	4002.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	8	0	5	1000	43020.000	43020.860	44	20.860	1	3	2	5	4	13254	0	1000	1628.000	496.000	0	1	3	2	5	4	1644.000	2050.000	2366.000	2794.000	3108.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	9	1	5	1000	48020.000	48020.869	49	20.869	3	5	1	2	4	35124	0	1000	1786.000	74.000	0	3	5	1	2	4	1078.000	1388.000	1954.000	2294.000	2688.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	10	0	5	1000	53020.000	53020.981	54	20.981	3	5	1	2	4	35124	0	1000	1868.000	190.000	0	3	5	1	2	4	1194.000	1490.000	1816.000	2572.000	2884.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	11	1	5	1000	58020.000	58020.867	59	20.867	3	5	1	2	4	35124	0	1000	1300.000	484.000	0	3	5	1	2	4	1598.000	1878.000	2150.000	2412.000	2736.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	12	1	5	1000	63020.000	63020.837	64	20.837	1	4	5	2	3	14523	0	1000	1264.000	620.000	0	1	4	5	2	3	1844.000	2156.000	2396.000	2678.000	2938.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	13	0	5	1000	68020.000	68020.888	69	20.888	1	4	5	2	3	14523	0	1000	1910.000	304.000	0	1	4	5	2	3	1394.000	1798.000	2406.000	2876.000	3124.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	14	1	5	1000	73020.000	73020.856	74	20.856	3	5	1	2	4	35124	0	1000	1430.000	362.000	0	3	5	1	2	4	1366.000	1672.000	1998.000	2324.000	2568.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	15	1	5	1000	78020.000	78020.855	79	20.855	3	2	4	5	1	32451	0	1000	1268.000	218.000	0	3	2	4	5	1	1222.000	1494.000	1744.000	2054.000	2326.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	16	1	5	1000	83020.000	83020.882	84	20.882	3	2	4	5	1	32451	0	1000	1166.000	532.000	0	3	2	4	5	1	1536.000	1788.000	2018.000	2330.000	2566.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	17	1	5	1000	88020.000	88020.879	89	20.879	3	5	1	2	4	35124	0	16000	1134.000	170.000	0	3	5	1	2	4	1174.000	1416.000	1658.000	1892.000	2166.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	18	1	5	1000	108020.000	108020.962	109	20.962	3	5	1	2	4	35124	0	1000	1492.000	150.000	0	3	5	1	2	4	1154.000	1522.000	1824.000	2218.000	2492.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	19	0	5	1000	113020.000	113020.881	114	20.881	1	3	2	5	4	13254	0	1000	0.000	1062.000	1	1	4	2	5	4	2066.000	2378.000	3328.000	3666.000	3900.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	20	1	5	1000	118020.000	118020.878	119	20.878	1	4	5	2	3	14523	0	1000	1082.000	16.000	0	1	4	5	2	3	1020.000	1278.000	1496.000	1738.000	1978.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	21	1	5	1000	123020.000	123020.841	124	20.841	1	4	5	2	3	14523	0	1000	1076.000	490.000	0	1	4	5	2	3	1494.000	1740.000	1974.000	2224.000	2446.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	22	1	5	1000	128020.000	128020.883	129	20.883	3	2	4	5	1	32451	0	1000	1060.000	244.000	0	3	2	4	5	1	1248.000	1508.000	1730.000	1986.000	2234.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	23	1	5	1000	133020.000	133020.983	134	20.983	1	4	5	2	3	14523	0	1000	1194.000	36.000	0	1	4	5	2	3	1040.000	1486.000	1714.000	1922.000	2128.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	24	0	5	1000	138020.000	138020.868	139	20.868	1	3	2	5	4	13254	0	1000	2290.000	92.000	0	1	3	2	5	4	1096.000	2042.000	2328.000	3050.000	3268.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	25	1	5	1000	143020.000	143020.867	144	20.867	3	2	4	5	1	32451	0	1000	1140.000	512.000	0	3	2	4	5	1	1580.000	1832.000	2078.000	2334.000	2626.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	26	0	5	1000	148020.000	148020.905	149	20.905	1	3	2	5	4	13254	0	1000	1280.000	48.000	0	1	3	2	5	4	1052.000	1322.000	1598.000	2000.000	2228.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	27	0	5	1000	153020.000	153020.869	154	20.869	3	5	1	2	4	35124	0	1000	1628.000	808.000	0	3	5	1	2	4	1812.000	2046.000	2358.000	2936.000	3306.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	28	1	5	1000	158020.000	158020.878	159	20.878	1	3	2	5	4	13254	0	1000	0.000	608.000	1	1	3	2	3	4	1612.000	2146.000	2378.000	3530.000	3956.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
