BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	1	1	5	1000	8020.000	8020.988	9	20.988	3	2	4	5	1	32451	0	1000	2158.000	640.000	0	3	2	4	5	1	1644.000	2100.000	2632.000	3096.000	3534.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	2	0	5	1000	13020.000	13020.998	14	20.998	3	2	4	5	1	32451	0	1000	1920.000	880.000	0	3	2	4	5	1	1884.000	2280.000	2702.000	3144.000	3504.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	3	0	5	1000	18020.000	18021.012	19	21.012	1	4	5	2	3	14523	0	1000	1898.000	428.000	0	1	4	5	2	3	1432.000	1908.000	2342.000	2714.000	3148.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	4	0	5	1000	23020.000	23021.047	24	21.047	1	4	5	2	3	14523	0	1000	1832.000	392.000	0	1	4	5	2	3	1396.000	1842.000	2264.000	2640.000	3042.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	5	1	5	1000	28020.000	28020.983	29	20.983	3	5	1	2	4	35124	0	1000	1806.000	504.000	0	3	5	1	2	4	1508.000	1872.000	2310.000	2718.000	3156.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	6	0	5	1000	33020.000	33020.986	34	20.986	3	5	1	2	4	35124	0	1000	1622.000	482.000	0	3	5	1	2	4	1486.000	1808.000	2178.000	2542.000	2914.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	7	0	5	1000	38020.000	38020.998	39	20.998	1	3	2	5	4	13254	0	1000	1688.000	150.000	0	1	3	2	5	4	1154.000	1604.000	1970.000	2310.000	2688.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	8	0	5	1000	43020.000	43021.030	44	21.030	1	4	5	2	3	14523	0	1000	1722.000	420.000	0	1	4	5	2	3	1424.000	1812.000	2228.000	2616.000	3018.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	9	1	5	1000	48020.000	48021.009	49	21.009	1	4	5	2	3	14523	0	1000	1728.000	806.000	0	1	4	5	2	3	1810.000	2250.000	2622.000	3010.000	3392.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	10	0	5	1000	53020.000	53020.983	54	20.983	1	4	5	2	3	14523	0	1000	1768.000	464.000	0	1	4	5	2	3	1468.000	1896.000	2322.000	2704.000	3092.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
