BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5
1	1	0	5	1000	8020	8020.972	3	2580.972	3	2	4	5	1	32451	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	5000	0	1	1	1	1	1
1	2	1	5	1000	13020	13021.008	5	2141.008	3	2	4	5	1	32451	0	1000	830	1578	1	1	1	2	3	1	2582	2870	2954	3160	3232	6000	5000	0	1	1	1	1	1
1	3	1	5	1000	18020	18020.974	7	1700.974	1	3	2	5	4	13254	0	1000	1618	1372	0	1	3	2	5	4	2376	2534	2718	3040	3894	6000	5000	1	1	1	1	1	1
1	4	1	5	1000	23020	23021.002	9	1261.002	1	3	2	5	4	13254	0	1000	682	1014	0	1	3	2	5	4	2056	2196	2320	2478	2602	6000	5000	1	1	1	1	1	1
1	5	0	5	1000	28020	28021.005	11	821.005	3	2	4	5	1	32451	0	1000	954	46	1	1	5	1	2	3	1050	1306	1514	1704	1934	6000	5000	0	1	1	1	1	1
1	6	0	5	1000	33020	33021.052	13	381.052	3	2	4	5	1	32451	0	1000	1956	132	1	5	3	4	5	1	1136	2104	2286	2472	2776	6000	5000	0	1	1	1	1	1
1	7	0	5	1000	38020	38021.017	14	2661.017	3	5	1	2	4	35124	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	5000	0	1	1	1	1	1
1	8	1	5	1000	43020	43021.002	16	2221.002	3	5	1	2	4	35124	0	1000	596	970	0	3	5	1	2	4	1974	2114	2224	2326	2450	6000	5000	1	1	1	1	1	1
1	9	0	5	1000	48020	48020.992	18	1780.992	3	2	4	5	1	32451	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	5000	0	1	1	1	1	1
1	10	0	5	1000	53020	53020.992	20	1340.992	1	4	5	2	3	14523	0	1000	748	280	1	4	3	2	2	4	1284	1324	1340	1754	1910	6000	5000	0	1	1	1	1	1
1	11	1	5	1000	58020	58020.995	22	900.995	1	4	5	2	3	14523	0	1000	0	442	0	1	0	0	0	0	3478	0	0	0	0	6000	5000	0	1	1	1	1	1
1	12	1	5	1000	63020	63020.995	24	460.996	1	3	2	5	4	13254	0	1000	1700	132	1	1	2	3	4	5	1136	1648	2248	2490	2744	6000	5000	0	1	1	1	1	1
1	13	0	5	1000	68020	68021.021	26	21.021	1	3	2	5	4	13254	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	5000	0	1	1	1	1	1
1	14	1	5	1000	73020	73021.004	27	2301.004	3	5	1	2	4	35124	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	5000	0	1	1	1	1	1
1	15	0	5	1000	78020	78020.991	29	1860.991	3	5	1	2	4	35124	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	5000	0	1	1	1	1	1
1	16	0	5	1000	83020	83020.993	31	1420.993	1	4	5	2	3	14523	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	5000	0	1	1	1	1	1
1	17	1	5	1000	88020	88020.998	33	980.998	3	5	1	2	4	35124	0	16000	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	5000	0	1	1	1	1	1
BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5
1	1	0	5	1000	8020	8020.992	3	2580.992	3	2	4	5	1	32451	0	1000	1482	612	0	3	2	4	5	1	1616	1924	2252	2502	2808	6000	5000	1	1	1	1	1	1
1	2	1	5	1000	13020	13021.005	5	2141.005	3	2	4	5	1	32451	0	1000	1410	402	0	3	2	4	5	1	1406	1666	1978	2244	2526	6000	5000	1	1	1	1	1	1
1	3	1	5	1000	18020	18021.001	7	1701.001	1	3	2	5	4	13254	0	1000	1162	404	0	1	3	2	5	4	1408	1626	1906	2170	2432	6000	5000	1	1	1	1	1	1
1	4	1	5	1000	23020	23020.975	9	1260.975	1	3	2	5	4	13254	0	1000	1108	416	0	1	3	2	5	4	1420	1632	1916	2142	2380	6000	5000	1	1	1	1	1	1
1	5	0	5	1000	28020	28020.99	11	820.99	3	2	4	5	1	32451	0	1000	1344	382	0	3	2	4	5	1	1386	1614	1838	2170	2412	6000	5000	1	1	1	1	1	1
1	6	0	5	1000	33020	33020.992	13	380.992	3	2	4	5	1	32451	0	1000	1204	496	0	3	2	4	5	1	1500	1746	1986	2208	2502	6000	5000	1	1	1	1	1	1
1	7	0	5	1000	38020	38020.993	14	2660.993	3	5	1	2	4	35124	0	1000	1258	470	0	3	5	1	2	4	1474	1674	2016	2328	2616	6000	5000	1	1	1	1	1	1
1	8	1	5	1000	43020	43020.974	16	2220.974	3	5	1	2	4	35124	0	1000	1116	772	0	3	5	1	2	4	1776	2110	2386	2586	2794	6000	5000	1	1	1	1	1	1
1	9	0	5	1000	48020	48021.004	18	1781.004	3	2	4	5	1	32451	0	1000	1060	422	0	3	2	4	5	1	1426	1624	1838	2048	2254	6000	5000	1	1	1	1	1	1
1	10	0	5	1000	53020	53020.974	20	1340.974	1	4	5	2	3	14523	0	1000	1034	468	0	1	4	5	2	3	1472	1666	1870	2146	2372	6000	5000	1	1	1	1	1	1
1	11	1	5	1000	58020	58020.994	22	900.994	1	4	5	2	3	14523	0	1000	1526	798	1	4	4	5	1	2	1802	2246	2476	2794	3098	6000	5000	0	1	1	1	1	1
1	12	1	5	1000	63020	63020.993	24	460.993	1	3	2	5	4	13254	0	1000	1060	402	0	1	3	2	5	4	1406	1622	1878	2144	2352	6000	5000	1	1	1	1	1	1
1	13	0	5	1000	68020	68020.976	26	20.976	1	3	2	5	4	13254	0	1000	1104	386	0	1	3	2	5	4	1390	1640	1912	2140	2366	6000	5000	1	1	1	1	1	1
1	14	1	5	1000	73020	73020.993	27	2300.993	3	5	1	2	4	35124	0	1000	1204	438	0	3	5	1	2	4	1442	1708	1994	2246	2404	6000	5000	1	1	1	1	1	1
