BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5
1	1	1	5	1000	8020	8020.003	9	16.003	1	3	2	5	4	13254	0	1000	998	366	0	1	3	2	5	4	1370	1576	1796	1986	2168	6000	5000	1	1	1	1	1	1
1	2	1	5	1000	13020	13020.083	14	14.061	3	5	1	2	4	35124	0	1000	866	538	0	3	5	1	2	4	1542	1708	1874	2088	2172	6000	5000	1	1	1	1	1	1
1	3	1	5	1000	18020	18020.034	19	12.044	3	5	1	2	4	35124	0	1000	830	458	0	3	5	1	2	4	1462	1610	1774	1958	2072	6000	5000	1	1	1	1	1	1
1	4	1	5	1000	23020	23020.021	24	10.02	3	2	4	5	1	32451	0	1000	944	480	0	3	2	4	5	1	1484	1714	1858	2052	2236	6000	5000	1	1	1	1	1	1
1	5	1	5	1000	28020	28020.004	29	9.982	1	3	2	5	4	13254	0	1000	926	502	0	1	3	2	5	4	1506	1712	1906	2070	2200	6000	5000	1	1	1	1	1	1
1	6	0	5	1000	33020	33020.084	34	8.083	3	2	4	5	1	32451	0	1000	978	478	0	3	2	4	5	1	1482	1702	1824	2054	2252	6000	5000	1	1	1	1	1	1
1	7	1	5	1000	38020	38021.989	39	7.998	3	5	1	2	4	35124	0	1000	720	472	0	3	5	1	2	4	1476	1598	1746	1924	2020	6000	5000	1	1	1	1	1	1
1	8	0	5	1000	43020	43020.001	44	3.997	1	4	5	2	3	14523	0	1000	698	412	0	1	4	5	2	3	1416	1536	1674	1814	1966	6000	5000	1	1	1	1	1	1
1	9	1	5	1000	48020	48020.002	49	1.998	1	4	5	2	3	14523	0	1000	762	454	0	1	4	5	2	3	1458	1616	1772	1946	2094	6000	5000	1	1	1	1	1	1
1	10	0	5	1000	53020	53020.007	54	0	3	2	4	5	1	32451	0	1000	830	416	0	3	2	4	5	1	1420	1596	1728	1886	2062	6000	5000	1	1	1	1	1	1
1	11	1	5	1000	58020	58020.032	58	999.946	3	2	4	5	1	32451	0	1000	798	466	0	3	2	4	5	1	1470	1640	1756	1904	2076	6000	5000	1	1	1	1	1	1
1	12	1	5	1000	63020	63020.02	63	998.021	3	5	1	2	4	35124	0	1000	758	472	0	3	5	1	2	4	1476	1600	1746	1934	2044	6000	5000	1	1	1	1	1	1
1	13	0	5	1000	68020	68020.013	68	996.024	1	3	2	5	4	13254	0	1000	774	450	0	1	3	2	5	4	1454	1616	1762	1910	2028	6000	5000	1	1	1	1	1	1
1	14	1	5	1000	73020	73020.002	73	993.958	1	4	5	2	3	14523	0	1000	732	528	0	1	4	5	2	3	1532	1674	1830	1992	2138	6000	5000	1	1	1	1	1	1
1	15	1	5	1000	78020	78020.067	78	992.066	3	5	1	2	4	35124	0	1000	786	466	0	3	5	1	2	4	1470	1610	1736	1916	2034	6000	5000	1	1	1	1	1	1
1	16	1	5	1000	83020	83020	83	990.011	1	3	2	5	4	13254	0	1000	818	614	0	1	3	2	5	4	1618	1772	1936	2064	2282	6000	5000	1	1	1	1	1	1
1	17	0	5	1000	88020	88020.002	88	988.001	1	4	5	2	3	14523	0	16000	784	518	0	1	4	5	2	3	1522	1662	1818	1966	2100	6000	5000	1	1	1	1	1	1
1	18	0	5	1000	108020	108020.001	108	981.998	1	4	5	2	3	14523	0	1000	764	490	0	1	4	5	2	3	1494	1652	1804	1964	2124	6000	5000	1	1	1	1	1	1
1	19	1	5	1000	113020	113020.001	113	980.01	3	5	1	2	4	35124	0	1000	732	486	0	3	5	1	2	4	1490	1608	1736	1914	2032	6000	5000	1	1	1	1	1	1
1	20	0	5	1000	118020	118020.002	118	978.001	3	2	4	5	1	32451	0	1000	742	502	0	3	2	4	5	1	1506	1624	1758	1920	2034	6000	5000	1	1	1	1	1	1
1	21	0	5	1000	123020	123020.001	123	975.998	3	2	4	5	1	32451	0	1000	776	498	0	3	2	4	5	1	1502	1670	1772	1956	2016	6000	5000	1	1	1	1	1	1
1	22	0	5	1000	128020	128021.98	128	977.988	1	4	5	2	3	14523	0	1000	656	442	0	1	4	5	2	3	1446	1582	1692	1816	1956	6000	5000	1	1	1	1	1	1
1	23	0	5	1000	133020	133022.006	133	976.006	3	5	1	2	4	35124	0	1000	628	424	0	3	5	1	2	4	1428	1530	1638	1778	1888	6000	5000	1	1	1	1	1	1
1	24	0	5	1000	138020	138020.002	138	972.003	3	2	4	5	1	32451	0	1000	760	526	0	3	2	4	5	1	1530	1656	1768	1936	2060	6000	5000	1	1	1	1	1	1
1	25	1	5	1000	143020	143021.991	143	972.008	1	3	2	5	4	13254	0	1000	732	496	0	1	3	2	5	4	1500	1646	1790	1914	2032	6000	5000	1	1	1	1	1	1
1	26	1	5	1000	148020	148020.003	148	970.014	1	4	5	2	3	14523	0	1000	700	444	0	1	4	5	2	3	1448	1570	1720	1834	1978	6000	5000	1	1	1	1	1	1
1	27	1	5	1000	153020	153020.001	153	965.978	3	2	4	5	1	32451	0	1000	758	568	0	3	2	4	5	1	1572	1722	1852	2008	2146	6000	5000	1	1	1	1	1	1
1	28	1	5	1000	158020	158020.084	158	964.083	3	2	4	5	1	32451	0	1000	786	468	0	3	2	4	5	1	1472	1636	1758	1900	2050	6000	5000	1	1	1	1	1	1
1	29	0	5	1000	163020	163020.001	163	964.002	3	2	4	5	1	32451	0	1000	854	448	0	3	2	4	5	1	1452	1600	1714	1874	2014	6000	5000	1	1	1	1	1	1
1	30	0	5	1000	168020	168021.989	168	963.988	1	3	2	5	4	13254	0	1000	792	594	0	1	3	2	5	4	1598	1732	1884	2036	2184	6000	5000	1	1	1	1	1	1
1	31	0	5	1000	173020	173022	173	961.998	1	3	2	5	4	13254	0	1000	752	480	0	1	3	2	5	4	1484	1614	1764	1908	2030	6000	5000	1	1	1	1	1	1
1	32	0	5	1000	178020	178020.003	178	957.984	3	2	4	5	1	32451	0	1000	786	462	0	3	2	4	5	1	1466	1612	1740	1902	2054	6000	5000	1	1	1	1	1	1
1	33	0	5	1000	183020	183020.001	183	955.998	3	5	1	2	4	35124	0	1000	776	468	0	3	5	1	2	4	1472	1590	1704	1902	2016	6000	5000	1	1	1	1	1	1
1	34	1	5	1000	188020	188020.002	188	953.999	3	5	1	2	4	35124	0	16000	790	454	0	3	5	1	2	4	1458	1586	1708	1888	2016	6000	5000	1	1	1	1	1	1
1	35	1	5	1000	208020	208020.002	208	948	3	5	1	2	4	35124	0	1000	728	578	0	3	5	1	2	4	1582	1722	1848	2012	2132	6000	5000	1	1	1	1	1	1
1	36	1	5	1000	213020	213020.015	213	946.013	1	4	5	2	3	14523	0	1000	764	382	0	1	4	5	2	3	1386	1514	1672	1808	1960	6000	5000	1	1	1	1	1	1
1	37	1	5	1000	218020	218020.003	218	944.005	1	3	2	5	4	13254	0	1000	824	406	0	1	3	2	5	4	1410	1556	1712	1862	1992	6000	5000	1	1	1	1	1	1
