BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5
1	1	1	5	1000	8020	8021.989	9	17.997	1	3	2	5	4	13254	0	1000	1274	434	0	1	3	2	5	4	1438	1894	2274	2488	2656	6000	5000	1	1	1	1	1	1
1	2	1	5	1000	13020	13021.974	14	15.985	1	3	2	5	4	13254	0	1000	1340	396	0	1	3	2	5	4	1400	1702	2028	2364	2618	6000	5000	1	1	1	1	1	1
1	3	0	5	1000	18020	18021.975	19	13.987	3	5	1	2	4	35124	0	1000	1242	340	0	3	5	1	2	4	1344	1636	1976	2224	2478	6000	5000	1	1	1	1	1	1
1	4	1	5	1000	23020	23021.973	24	11.987	3	2	4	5	1	32451	0	1000	1042	386	0	3	2	4	5	1	1390	1672	1904	2132	2336	6000	5000	1	1	1	1	1	1
1	5	1	5	1000	28020	28021.963	29	9.998	1	4	5	2	3	14523	0	1000	1044	408	0	1	4	5	2	3	1412	1662	1924	2166	2392	6000	5000	1	1	1	1	1	1
1	6	0	5	1000	33020	33021.985	34	7.966	1	4	5	2	3	14523	0	1000	1200	510	0	1	4	5	2	3	1514	1792	2092	2366	2654	6000	5000	1	1	1	1	1	1
1	7	0	5	1000	38020	38021.989	39	8.026	1	3	2	5	4	13254	0	1000	1056	354	0	1	3	2	5	4	1358	1594	1854	2138	2360	6000	5000	1	1	1	1	1	1
1	8	1	5	1000	43020	43022.024	44	6.049	1	4	5	2	3	14523	0	1000	1138	364	0	1	4	5	2	3	1368	1654	1946	2230	2450	6000	5000	1	1	1	1	1	1
1	9	0	5	1000	48020	48020	49	2.026	3	5	1	2	4	35124	0	1000	980	378	0	3	5	1	2	4	1382	1636	1900	2074	2292	6000	5000	1	1	1	1	1	1
1	10	0	5	1000	53020	53021.975	54	1.999	1	4	5	2	3	14523	0	1000	1686	456	1	1	4	5	3	3	1460	1684	1906	2338	3070	6000	5000	0	1	1	1	1	1
1	11	1	5	1000	58020	58021.997	59	0	1	4	5	2	3	14523	0	1000	1762	340	0	1	4	5	2	3	1344	1984	2314	2688	2986	6000	5000	1	1	1	1	1	1
1	12	1	5	1000	63020	63021.984	63	997.985	3	2	4	5	1	32451	0	1000	1212	370	0	3	2	4	5	1	1374	1646	1940	2198	2442	6000	5000	1	1	1	1	1	1
1	13	1	5	1000	68020	68021.973	68	998.008	3	2	4	5	1	32451	0	1000	1386	368	0	3	2	4	5	1	1372	1696	2004	2310	2660	6000	5000	1	1	1	1	1	1
1	14	1	5	1000	73020	73021.976	73	995.99	3	5	1	2	4	35124	0	1000	1326	338	0	3	5	1	2	4	1342	1646	1974	2286	2586	6000	5000	1	1	1	1	1	1
1	15	0	5	1000	78020	78021.975	78	994.002	3	5	1	2	4	35124	0	1000	1632	502	0	3	5	1	2	4	1506	1800	2162	2438	3068	6000	5000	1	1	1	1	1	1
1	16	1	5	1000	83020	83021.973	83	991.956	1	4	5	2	3	14523	0	1000	1248	388	0	1	4	5	2	3	1392	1678	1974	2270	2564	6000	5000	1	1	1	1	1	1
1	17	0	5	1000	88020	88021.986	88	989.99	3	2	4	5	1	32451	0	16000	1316	944	0	3	2	4	5	1	1948	2222	2570	2900	3166	6000	5000	1	1	1	1	1	1
1	18	0	5	1000	108020	108021.962	108	983.987	3	2	4	5	1	32451	0	1000	1406	456	0	3	2	4	5	1	1460	1844	2232	2496	2780	6000	5000	1	1	1	1	1	1
1	19	0	5	1000	113020	113021.978	113	982.001	1	3	2	5	4	13254	0	1000	1162	388	0	1	3	2	5	4	1392	1648	1940	2230	2468	6000	5000	1	1	1	1	1	1
1	20	0	5	1000	118020	118021.972	118	979.997	1	4	5	2	3	14523	0	1000	1116	392	0	1	4	5	2	3	1396	1642	1942	2222	2444	6000	5000	1	1	1	1	1	1
1	21	0	5	1000	123020	123021.978	123	978.003	3	5	1	2	4	35124	0	1000	1150	466	0	3	5	1	2	4	1470	1734	2038	2286	2538	6000	5000	1	1	1	1	1	1
1	22	0	5	1000	128020	128021.976	128	976.003	3	2	4	5	1	32451	0	1000	1070	328	0	3	2	4	5	1	1332	1570	1818	2082	2318	6000	5000	1	1	1	1	1	1
1	23	1	5	1000	133020	133021.984	133	974.009	1	3	2	5	4	13254	0	1000	1320	356	0	1	3	2	5	4	1360	1682	2002	2298	2592	6000	5000	1	1	1	1	1	1
1	24	1	5	1000	138020	138021.973	138	972.027	3	5	1	2	4	35124	0	1000	1614	348	0	3	5	1	2	4	1352	1600	2248	2564	2828	6000	5000	1	1	1	1	1	1
1	25	1	5	1000	143020	143020.004	143	969.993	1	3	2	5	4	13254	0	1000	1066	362	0	1	3	2	5	4	1366	1610	1882	2128	2358	6000	5000	1	1	1	1	1	1
1	26	0	5	1000	148020	148021.986	148	969.991	3	2	4	5	1	32451	0	1000	1254	334	0	3	2	4	5	1	1338	1610	1872	2194	2478	6000	5000	1	1	1	1	1	1
1	27	0	5	1000	153020	153022.013	153	968.037	3	5	1	2	4	35124	0	1000	1320	398	0	3	5	1	2	4	1402	1706	2044	2312	2624	6000	5000	1	1	1	1	1	1
1	28	1	5	1000	158020	158021.986	158	965.987	3	5	1	2	4	35124	0	1000	1182	286	0	3	5	1	2	4	1290	1560	1886	2140	2396	6000	5000	1	1	1	1	1	1
1	29	1	5	1000	163020	163021.967	163	963.977	1	4	5	2	3	14523	0	1000	1156	398	0	1	4	5	2	3	1402	1646	1922	2226	2478	6000	5000	1	1	1	1	1	1
1	30	1	5	1000	168020	168021.974	168	961.999	1	4	5	2	3	14523	0	1000	1264	358	0	1	4	5	2	3	1362	1618	1948	2258	2520	6000	5000	1	1	1	1	1	1
1	31	1	5	1000	173020	173021.998	173	961.981	1	3	2	5	4	13254	0	1000	1066	310	0	1	3	2	5	4	1314	1540	1816	2066	2308	6000	5000	1	1	1	1	1	1
1	32	0	5	1000	178020	178021.999	178	959.999	1	4	5	2	3	14523	0	1000	1196	396	0	1	4	5	2	3	1400	1656	1956	2238	2506	6000	5000	1	1	1	1	1	1
1	33	0	5	1000	183020	183020.011	183	956.018	3	2	4	5	1	32451	0	1000	1146	336	0	3	2	4	5	1	1340	1608	1890	2122	2396	6000	5000	1	1	1	1	1	1
1	34	1	5	1000	188020	188021.974	188	955.988	3	5	1	2	4	35124	0	16000	1300	344	0	3	5	1	2	4	1348	1616	2060	2302	2570	6000	5000	1	1	1	1	1	1
1	35	1	5	1000	208020	208021.963	208	947.974	3	5	1	2	4	35124	0	1000	1206	396	0	3	5	1	2	4	1400	1676	1982	2230	2520	6000	5000	1	1	1	1	1	1
1	36	1	5	1000	213020	213021.965	213	948.003	3	5	1	2	4	35124	0	1000	1276	282	0	3	5	1	2	4	1286	1628	1958	2166	2494	6000	5000	1	1	1	1	1	1
1	37	0	5	1000	218020	218021.977	218	945.998	1	4	5	2	3	14523	0	1000	1436	364	0	1	4	5	2	3	1368	1726	2078	2404	2732	6000	5000	1	1	1	1	1	1
1	38	0	5	1000	223020	223022.012	223	943.934	1	4	5	2	3	14523	0	1000	1212	454	0	1	4	5	2	3	1458	1698	1998	2304	2602	6000	5000	1	1	1	1	1	1
1	39	1	5	1000	228020	228022.012	228	942.025	3	5	1	2	4	35124	0	1000	1020	880	0	3	5	1	2	4	1884	2148	2404	2646	2870	6000	5000	1	1	1	1	1	1
1	40	1	5	1000	233020	233022.112	233	940.134	3	2	4	5	1	32451	0	1000	1038	386	0	3	2	4	5	1	1390	1652	1874	2100	2326	6000	5000	1	1	1	1	1	1
1	41	0	5	1000	238020	238021.944	238	937.988	3	2	4	5	1	32451	0	1000	1314	318	0	3	2	4	5	1	1428	1770	2082	2370	2638	6000	5000	1	1	1	1	1	1
1	42	1	5	1000	243020	243021.97	243	936.008	3	2	4	5	1	32451	0	1000	1072	316	0	3	2	4	5	1	1320	1572	1822	2070	2302	6000	5000	1	1	1	1	1	1
