BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	1	1	5	1000	8020.000	8021.989	9	17.997	1	3	2	5	4	13254	0	1000	1274.000	434.000	0	1	3	2	5	4	1438.000	1894.000	2274.000	2488.000	2656.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	2	1	5	1000	13020.000	13021.974	14	15.985	1	3	2	5	4	13254	0	1000	1340.000	396.000	0	1	3	2	5	4	1400.000	1702.000	2028.000	2364.000	2618.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	3	0	5	1000	18020.000	18021.975	19	13.987	3	5	1	2	4	35124	0	1000	1242.000	340.000	0	3	5	1	2	4	1344.000	1636.000	1976.000	2224.000	2478.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	4	1	5	1000	23020.000	23021.973	24	11.987	3	2	4	5	1	32451	0	1000	1042.000	386.000	0	3	2	4	5	1	1390.000	1672.000	1904.000	2132.000	2336.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	5	1	5	1000	28020.000	28021.963	29	9.998	1	4	5	2	3	14523	0	1000	1044.000	408.000	0	1	4	5	2	3	1412.000	1662.000	1924.000	2166.000	2392.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	6	0	5	1000	33020.000	33021.985	34	7.966	1	4	5	2	3	14523	0	1000	1200.000	510.000	0	1	4	5	2	3	1514.000	1792.000	2092.000	2366.000	2654.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	7	0	5	1000	38020.000	38021.989	39	8.026	1	3	2	5	4	13254	0	1000	1056.000	354.000	0	1	3	2	5	4	1358.000	1594.000	1854.000	2138.000	2360.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	8	1	5	1000	43020.000	43022.024	44	6.049	1	4	5	2	3	14523	0	1000	1138.000	364.000	0	1	4	5	2	3	1368.000	1654.000	1946.000	2230.000	2450.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	9	0	5	1000	48020.000	48020.000	49	2.026	3	5	1	2	4	35124	0	1000	980.000	378.000	0	3	5	1	2	4	1382.000	1636.000	1900.000	2074.000	2292.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	10	0	5	1000	53020.000	53021.975	54	1.999	1	4	5	2	3	14523	0	1000	1686.000	456.000	1	1	4	5	3	3	1460.000	1684.000	1906.000	2338.000	3070.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	11	1	5	1000	58020.000	58021.997	59	0.000	1	4	5	2	3	14523	0	1000	1762.000	340.000	0	1	4	5	2	3	1344.000	1984.000	2314.000	2688.000	2986.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	12	1	5	1000	63020.000	63021.984	63	997.985	3	2	4	5	1	32451	0	1000	1212.000	370.000	0	3	2	4	5	1	1374.000	1646.000	1940.000	2198.000	2442.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	13	1	5	1000	68020.000	68021.973	68	998.008	3	2	4	5	1	32451	0	1000	1386.000	368.000	0	3	2	4	5	1	1372.000	1696.000	2004.000	2310.000	2660.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	14	1	5	1000	73020.000	73021.976	73	995.990	3	5	1	2	4	35124	0	1000	1326.000	338.000	0	3	5	1	2	4	1342.000	1646.000	1974.000	2286.000	2586.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	15	0	5	1000	78020.000	78021.975	78	994.002	3	5	1	2	4	35124	0	1000	1632.000	502.000	0	3	5	1	2	4	1506.000	1800.000	2162.000	2438.000	3068.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	16	1	5	1000	83020.000	83021.973	83	991.956	1	4	5	2	3	14523	0	1000	1248.000	388.000	0	1	4	5	2	3	1392.000	1678.000	1974.000	2270.000	2564.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	17	0	5	1000	88020.000	88021.986	88	989.990	3	2	4	5	1	32451	0	16000	1316.000	944.000	0	3	2	4	5	1	1948.000	2222.000	2570.000	2900.000	3166.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	18	0	5	1000	108020.000	108021.962	108	983.987	3	2	4	5	1	32451	0	1000	1406.000	456.000	0	3	2	4	5	1	1460.000	1844.000	2232.000	2496.000	2780.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	19	0	5	1000	113020.000	113021.978	113	982.001	1	3	2	5	4	13254	0	1000	1162.000	388.000	0	1	3	2	5	4	1392.000	1648.000	1940.000	2230.000	2468.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	20	0	5	1000	118020.000	118021.972	118	979.997	1	4	5	2	3	14523	0	1000	1116.000	392.000	0	1	4	5	2	3	1396.000	1642.000	1942.000	2222.000	2444.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	21	0	5	1000	123020.000	123021.978	123	978.003	3	5	1	2	4	35124	0	1000	1150.000	466.000	0	3	5	1	2	4	1470.000	1734.000	2038.000	2286.000	2538.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	22	0	5	1000	128020.000	128021.976	128	976.003	3	2	4	5	1	32451	0	1000	1070.000	328.000	0	3	2	4	5	1	1332.000	1570.000	1818.000	2082.000	2318.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	23	1	5	1000	133020.000	133021.984	133	974.009	1	3	2	5	4	13254	0	1000	1320.000	356.000	0	1	3	2	5	4	1360.000	1682.000	2002.000	2298.000	2592.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	24	1	5	1000	138020.000	138021.973	138	972.027	3	5	1	2	4	35124	0	1000	1614.000	348.000	0	3	5	1	2	4	1352.000	1600.000	2248.000	2564.000	2828.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	25	1	5	1000	143020.000	143020.004	143	969.993	1	3	2	5	4	13254	0	1000	1066.000	362.000	0	1	3	2	5	4	1366.000	1610.000	1882.000	2128.000	2358.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	26	0	5	1000	148020.000	148021.986	148	969.991	3	2	4	5	1	32451	0	1000	1254.000	334.000	0	3	2	4	5	1	1338.000	1610.000	1872.000	2194.000	2478.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	27	0	5	1000	153020.000	153022.013	153	968.037	3	5	1	2	4	35124	0	1000	1320.000	398.000	0	3	5	1	2	4	1402.000	1706.000	2044.000	2312.000	2624.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	28	1	5	1000	158020.000	158021.986	158	965.987	3	5	1	2	4	35124	0	1000	1182.000	286.000	0	3	5	1	2	4	1290.000	1560.000	1886.000	2140.000	2396.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	29	1	5	1000	163020.000	163021.967	163	963.977	1	4	5	2	3	14523	0	1000	1156.000	398.000	0	1	4	5	2	3	1402.000	1646.000	1922.000	2226.000	2478.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	30	1	5	1000	168020.000	168021.974	168	961.999	1	4	5	2	3	14523	0	1000	1264.000	358.000	0	1	4	5	2	3	1362.000	1618.000	1948.000	2258.000	2520.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	31	1	5	1000	173020.000	173021.998	173	961.981	1	3	2	5	4	13254	0	1000	1066.000	310.000	0	1	3	2	5	4	1314.000	1540.000	1816.000	2066.000	2308.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	32	0	5	1000	178020.000	178021.999	178	959.999	1	4	5	2	3	14523	0	1000	1196.000	396.000	0	1	4	5	2	3	1400.000	1656.000	1956.000	2238.000	2506.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	33	0	5	1000	183020.000	183020.011	183	956.018	3	2	4	5	1	32451	0	1000	1146.000	336.000	0	3	2	4	5	1	1340.000	1608.000	1890.000	2122.000	2396.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	34	1	5	1000	188020.000	188021.974	188	955.988	3	5	1	2	4	35124	0	16000	1300.000	344.000	0	3	5	1	2	4	1348.000	1616.000	2060.000	2302.000	2570.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	35	1	5	1000	208020.000	208021.963	208	947.974	3	5	1	2	4	35124	0	1000	1206.000	396.000	0	3	5	1	2	4	1400.000	1676.000	1982.000	2230.000	2520.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	36	1	5	1000	213020.000	213021.965	213	948.003	3	5	1	2	4	35124	0	1000	1276.000	282.000	0	3	5	1	2	4	1286.000	1628.000	1958.000	2166.000	2494.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	37	0	5	1000	218020.000	218021.977	218	945.998	1	4	5	2	3	14523	0	1000	1436.000	364.000	0	1	4	5	2	3	1368.000	1726.000	2078.000	2404.000	2732.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	38	0	5	1000	223020.000	223022.012	223	943.934	1	4	5	2	3	14523	0	1000	1212.000	454.000	0	1	4	5	2	3	1458.000	1698.000	1998.000	2304.000	2602.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
