BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5
1	1	0	5	1000	8020	8020.001	9	16.001	3	5	1	2	4	35124	0	1000	1566	588	0	3	5	1	2	4	1592	1948	2322	2636	2964	6000	5000	1	1	1	1	1	1
1	2	0	5	1000	13020	13020.019	14	14.01	1	3	2	5	4	13254	0	1000	1460	496	0	1	3	2	5	4	1500	1814	2110	2440	2748	6000	5000	1	1	1	1	1	1
1	3	0	5	1000	18020	18020.029	19	12.027	1	3	2	5	4	13254	0	1000	1422	362	1	1	3	2	4	4	1366	1654	1964	2298	2598	6000	5000	0	1	1	1	1	1
1	4	1	5	1000	23020	23020.012	24	10.001	3	2	4	5	1	32451	0	1000	1596	388	0	3	2	4	5	1	1392	1714	2250	2542	2792	6000	5000	1	1	1	1	1	1
1	5	1	5	1000	28020	28020.021	29	9.997	1	3	2	5	4	13254	0	1000	1382	424	0	1	3	2	5	4	1428	1724	2044	2312	2632	6000	5000	1	1	1	1	1	1
1	6	0	5	1000	33020	33020.015	34	8.003	1	3	2	5	4	13254	0	1000	1344	412	0	1	3	2	5	4	1416	1704	2018	2274	2580	6000	5000	1	1	1	1	1	1
1	7	0	5	1000	38020	38020.021	39	6.009	3	2	4	5	1	32451	0	1000	1406	430	0	3	2	4	5	1	1434	1730	2042	2320	2602	6000	5000	1	1	1	1	1	1
1	8	0	5	1000	43020	43021.982	44	5.985	3	2	4	5	1	32451	0	1000	1226	492	1	3	2	4	5	4	1496	1778	2200	2512	2594	6000	5000	0	1	1	1	1	1
1	9	1	5	1000	48020	48020.03	49	2.016	3	5	1	2	4	35124	0	1000	1368	480	0	3	5	1	2	4	1484	1792	2122	2382	2682	6000	5000	1	1	1	1	1	1
1	10	0	5	1000	53020	53020.034	54	0	3	5	1	2	4	35124	0	1000	1528	440	0	3	5	1	2	4	1444	1746	2126	2462	2808	6000	5000	1	1	1	1	1	1
1	11	1	5	1000	58020	58020.029	58	1000.03	1	4	5	2	3	14523	0	1000	1422	552	0	1	4	5	2	3	1556	1924	2234	2550	2834	6000	5000	1	1	1	1	1	1
1	12	0	5	1000	63020	63020.012	63	997.982	3	5	1	2	4	35124	0	1000	1332	462	0	3	5	1	2	4	1466	1720	2052	2274	2622	6000	5000	1	1	1	1	1	1
1	13	1	5	1000	68020	68020.01	68	995.969	3	2	4	5	1	32451	0	1000	1368	480	0	3	2	4	5	1	1484	1786	2080	2364	2638	6000	5000	1	1	1	1	1	1
1	14	0	5	1000	73020	73020.033	73	994.006	1	3	2	5	4	13254	0	1000	1314	548	0	1	3	2	5	4	1552	1874	2156	2410	2680	6000	5000	1	1	1	1	1	1
