BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5
1	1	1	5	1000	8020	8021.881	9	17.986	3	2	4	5	1	32451	0	1000	1230	440	0	3	2	4	5	1	1444	1724	1996	2274	2544	6000	5000	1	1	1	1	1	1
1	2	0	5	1000	13020	13021.88	14	16	3	2	4	5	1	32451	0	1000	1170	414	0	3	2	4	5	1	1418	1676	1968	2238	2492	6000	5000	1	1	1	1	1	1
1	3	0	5	1000	18020	18021.893	19	14.01	1	3	2	5	4	13254	0	1000	1216	384	0	1	3	2	5	4	1388	1676	1938	2220	2486	6000	5000	1	1	1	1	1	1
1	4	1	5	1000	23020	23021.9	24	12.004	1	3	2	5	4	13254	0	1000	1254	384	0	1	3	2	5	4	1388	1694	1974	2256	2512	6000	5000	1	1	1	1	1	1
1	5	0	5	1000	28020	28021.883	29	10.014	3	5	1	2	4	35124	0	1000	1212	468	0	3	5	1	2	4	1472	1768	2024	2328	2570	6000	5000	1	1	1	1	1	1
1	6	0	5	1000	33020	33021.893	34	7.999	3	2	4	5	1	32451	0	1000	1702	368	0	3	2	4	5	1	1372	1628	1946	2626	2926	6000	5000	1	1	1	1	1	1
1	7	1	5	1000	38020	38021.894	39	8.002	1	3	2	5	4	13254	0	1000	1190	348	0	1	3	2	5	4	1352	1648	1920	2182	2438	6000	5000	1	1	1	1	1	1
1	8	0	5	1000	43020	43021.884	44	6.013	1	3	2	5	4	13254	0	1000	1236	362	0	1	3	2	5	4	1366	1666	1942	2210	2474	6000	5000	1	1	1	1	1	1
1	9	1	5	1000	48020	48021.894	49	3.973	3	5	1	2	4	35124	0	1000	1210	346	0	3	5	1	2	4	1350	1586	1840	2158	2426	6000	5000	1	1	1	1	1	1
1	10	0	5	1000	53020	53021.914	54	1.939	3	5	1	2	4	35124	0	1000	1222	368	0	3	5	1	2	4	1372	1654	1922	2234	2480	6000	5000	1	1	1	1	1	1
