BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	1	0	5	1000	8020.000	8020.985	9	20.985	3	2	4	5	1	32451	0	1000	0.000	1558.000	1	1	5	4	0	0	2562.000	2926.000	3324.000	0.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	2	1	5	1000	13020.000	13020.992	14	20.992	3	2	4	5	1	32451	0	1000	0.000	642.000	1	1	0	0	0	0	1646.000	0.000	0.000	0.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	3	0	5	1000	18020.000	18021.025	19	21.025	1	3	2	5	4	13254	0	1000	1392.000	458.000	0	1	3	2	5	4	1462.000	1820.000	2180.000	2434.000	2726.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	4	0	5	1000	23020.000	23021.024	24	21.024	1	4	5	2	3	14523	0	1000	1258.000	532.000	0	1	4	5	2	3	1536.000	1840.000	2120.000	2390.000	2690.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	5	1	5	1000	28020.000	28021.020	29	21.020	3	5	1	2	4	35124	0	1000	1152.000	796.000	0	3	5	1	2	4	1800.000	2106.000	2402.000	2592.000	2816.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	6	1	5	1000	33020.000	33021.003	34	21.003	1	4	5	2	3	14523	0	1000	1174.000	104.000	0	1	4	5	2	3	1108.000	1390.000	1646.000	1908.000	2172.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	7	0	5	1000	38020.000	38020.992	39	20.992	1	4	5	2	3	14523	0	1000	1180.000	10.000	0	1	4	5	2	3	1014.000	1284.000	1548.000	1818.000	2084.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	8	1	5	1000	43020.000	43020.983	44	20.983	1	3	2	5	4	13254	0	1000	1342.000	114.000	0	1	3	2	5	4	1520.000	1870.000	2164.000	2404.000	2726.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	9	1	5	1000	48020.000	48020.983	49	20.983	3	5	1	2	4	35124	0	1000	1380.000	102.000	0	3	5	1	2	4	1106.000	1432.000	1750.000	2040.000	2344.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	10	1	5	1000	53020.000	53020.982	54	20.982	3	2	4	5	1	32451	0	1000	1276.000	1078.000	0	3	2	4	5	1	2082.000	2416.000	2676.000	2926.000	3206.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	11	1	5	1000	58020.000	58020.979	59	20.979	3	2	4	5	1	32451	0	1000	1566.000	728.000	0	3	2	4	5	1	1732.000	2032.000	2338.000	2642.000	2944.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	12	1	5	1000	63020.000	63020.981	64	20.981	1	4	5	2	3	14523	0	1000	1320.000	832.000	0	1	4	5	2	3	1836.000	2140.000	2432.000	2732.000	3048.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	13	1	5	1000	68020.000	68021.010	69	21.010	3	2	4	5	1	32451	0	1000	1402.000	738.000	0	3	2	4	5	1	1742.000	2060.000	2366.000	2664.000	3000.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	14	1	5	1000	73020.000	73020.979	74	20.980	1	3	2	5	4	13254	0	1000	1380.000	656.000	0	1	3	2	5	4	1660.000	1986.000	2314.000	2594.000	2930.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	15	0	5	1000	78020.000	78020.981	79	20.981	1	3	2	5	4	13254	0	1000	1326.000	876.000	0	1	3	2	5	4	1880.000	2160.000	2460.000	2734.000	3106.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	16	1	5	1000	83020.000	83020.978	84	20.978	1	4	5	2	3	14523	0	1000	1294.000	688.000	1	4	1	4	5	2	1692.000	1916.000	2204.000	2472.000	2916.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	17	1	5	1000	88020.000	88020.993	89	20.993	3	5	1	2	4	35124	0	16000	1438.000	646.000	0	3	5	1	2	4	1650.000	1966.000	2304.000	2630.000	2954.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	18	1	5	1000	108020.000	108020.991	109	20.991	3	5	1	2	4	35124	0	1000	1536.000	420.000	1	4	3	5	1	4	1424.000	1602.000	1860.000	2330.000	2874.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	19	0	5	1000	113020.000	113021.004	114	21.004	1	4	5	2	3	14523	0	1000	1370.000	582.000	0	1	4	5	2	3	1586.000	1914.000	2238.000	2542.000	2882.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	20	0	5	1000	118020.000	118020.983	119	20.983	1	4	5	2	3	14523	0	1000	1422.000	698.000	0	1	4	5	2	3	1702.000	2032.000	2346.000	2678.000	3042.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	21	1	5	1000	123020.000	123020.989	124	20.990	1	4	5	2	3	14523	0	1000	1390.000	712.000	0	1	4	5	2	3	1716.000	2028.000	2352.000	2678.000	3028.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	22	1	5	1000	128020.000	128020.979	129	20.979	1	3	2	5	4	13254	0	1000	1482.000	672.000	0	1	3	2	5	4	1676.000	1992.000	2354.000	2730.000	3040.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	23	1	5	1000	133020.000	133020.995	134	20.995	3	2	4	5	1	32451	0	1000	1800.000	708.000	0	3	2	4	5	1	1712.000	2030.000	2356.000	2668.000	3008.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	24	0	5	1000	138020.000	138020.994	139	20.994	1	4	5	2	3	14523	0	1000	0.000	0.000	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	25	0	5	1000	143020.000	143021.023	144	21.023	3	5	1	2	4	35124	0	1000	0.000	550.000	0	3	5	1	2	0	2740.000	3072.000	3444.000	3756.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	26	1	5	1000	148020.000	148020.983	149	20.983	1	3	2	5	4	13254	0	1000	1510.000	860.000	0	1	3	2	5	4	1864.000	2206.000	2576.000	2908.000	3242.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	27	0	5	1000	153020.000	153020.993	154	20.993	3	2	4	5	1	32451	0	1000	1454.000	664.000	0	3	2	4	5	1	1668.000	1996.000	2272.000	2598.000	2970.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	28	1	5	1000	158020.000	158020.988	159	20.988	1	3	2	5	4	13254	0	1000	1490.000	602.000	0	1	3	2	5	4	1606.000	1936.000	2302.000	2632.000	2986.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	29	0	5	1000	163020.000	163020.994	164	20.994	3	5	1	2	4	35124	0	1000	1582.000	544.000	0	3	5	1	2	4	1548.000	1858.000	2246.000	2596.000	3004.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	30	0	5	1000	168020.000	168020.994	169	20.994	3	5	1	2	4	35124	0	1000	1490.000	690.000	0	3	5	1	2	4	1694.000	2006.000	2364.000	2694.000	3070.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	31	0	5	1000	173020.000	173020.989	174	20.990	3	2	4	5	1	32451	0	1000	1784.000	664.000	0	3	2	4	5	1	1668.000	2010.000	2344.000	2702.000	3058.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	32	0	5	1000	178020.000	178020.989	179	20.990	3	5	1	2	4	35124	0	1000	1446.000	642.000	0	3	5	1	2	4	1646.000	1954.000	2306.000	2626.000	2966.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	33	0	5	1000	183020.000	183020.994	184	20.994	1	4	5	2	3	14523	0	1000	1452.000	642.000	0	1	4	5	2	3	1646.000	1962.000	2284.000	2626.000	2978.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	34	0	5	1000	188020.000	188020.995	189	20.995	1	3	2	5	4	13254	0	16000	1512.000	664.000	0	1	3	2	5	4	1668.000	1998.000	2346.000	2702.000	3052.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
