BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	1	0	5	1000	8020.000	8020.950	9	20.950	3	5	1	2	4	35124	0	1000	1368.000	1046.000	0	3	5	1	2	4	2050.000	2368.000	2688.000	2998.000	3226.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	2	1	5	1000	13020.000	13020.968	14	20.968	1	3	2	5	4	13254	0	1000	0.000	1556.000	0	1	3	2	5	4	2560.000	2872.000	3262.000	3550.000	3828.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	3	1	5	1000	18020.000	18020.952	19	20.952	3	2	4	5	1	32451	0	1000	1374.000	824.000	0	3	2	4	5	1	1828.000	2096.000	2482.000	2710.000	2978.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	4	1	5	1000	23020.000	23020.963	24	20.963	3	2	4	5	1	32451	0	1000	1176.000	698.000	0	3	2	4	5	1	1702.000	1954.000	2220.000	2456.000	2732.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	5	0	5	1000	28020.000	28020.956	29	20.956	3	5	1	2	4	35124	0	1000	1322.000	544.000	0	3	5	1	2	4	1548.000	1844.000	2144.000	2456.000	2750.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	6	0	5	1000	33020.000	33020.964	34	20.964	1	4	5	2	3	14523	0	1000	1378.000	386.000	0	1	4	5	2	3	1390.000	1738.000	2048.000	2338.000	2664.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	7	1	5	1000	38020.000	38020.948	39	20.948	3	2	4	5	1	32451	0	1000	1354.000	610.000	0	3	2	4	5	1	1614.000	1920.000	2216.000	2480.000	2802.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	8	0	5	1000	43020.000	43020.951	44	20.951	1	3	2	5	4	13254	0	1000	1896.000	642.000	0	1	3	2	5	4	1646.000	2360.000	2718.000	3040.000	3370.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	9	1	5	1000	48020.000	48020.976	49	20.976	1	3	2	5	4	13254	0	1000	1418.000	880.000	0	1	3	2	5	4	1884.000	2206.000	2526.000	2828.000	3140.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	10	0	5	1000	53020.000	53020.973	54	20.973	3	2	4	5	1	32451	0	1000	1802.000	634.000	0	3	2	4	5	1	1638.000	1902.000	2228.000	2512.000	2830.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	11	1	5	1000	58020.000	58020.948	59	20.948	3	5	1	2	4	35124	0	1000	1242.000	576.000	0	3	5	1	2	4	1580.000	1840.000	2122.000	2400.000	2670.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	12	0	5	1000	63020.000	63020.966	64	20.966	3	2	4	5	1	32451	0	1000	0.000	1740.000	0	3	2	4	0	0	2744.000	3030.000	3324.000	0.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	13	1	5	1000	68020.000	68020.954	69	20.954	1	4	5	2	3	14523	0	1000	0.000	2038.000	0	1	4	5	2	0	3042.000	3322.000	3520.000	3832.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	14	1	5	1000	73020.000	73020.949	74	20.949	3	2	4	5	1	32451	0	1000	1560.000	732.000	0	3	2	4	5	1	1736.000	2086.000	2422.000	2654.000	3030.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	15	0	5	1000	78020.000	78020.964	79	20.964	3	2	4	5	1	32451	0	1000	0.000	798.000	0	3	2	4	5	1	1802.000	2072.000	2352.000	2646.000	2990.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	16	0	5	1000	83020.000	83020.954	84	20.954	1	3	2	5	4	13254	0	1000	1548.000	216.000	0	1	3	2	5	4	1902.000	2376.000	2700.000	2960.000	3282.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	17	0	5	1000	88020.000	88020.926	89	20.926	1	4	5	2	3	14523	0	16000	1274.000	712.000	0	1	4	5	2	3	1716.000	2006.000	2254.000	2544.000	2842.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	18	0	5	1000	108020.000	108020.953	109	20.953	1	4	5	2	3	14523	0	1000	1200.000	818.000	0	1	4	5	2	3	1822.000	2130.000	2362.000	2626.000	2900.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	19	0	5	1000	113020.000	113020.950	114	20.950	3	2	4	5	1	32451	0	1000	1320.000	774.000	0	3	2	4	5	1	1778.000	2024.000	2302.000	2638.000	2932.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	20	0	5	1000	118020.000	118020.940	119	20.940	3	2	4	5	1	32451	0	1000	1376.000	628.000	0	3	2	4	5	1	1632.000	1864.000	2156.000	2514.000	2842.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	21	1	5	1000	123020.000	123020.922	124	20.922	1	3	2	5	4	13254	0	1000	1642.000	628.000	0	1	3	2	5	4	1632.000	1942.000	2496.000	2822.000	3130.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	22	0	5	1000	128020.000	128020.954	129	20.954	1	3	2	5	4	13254	0	1000	1284.000	584.000	0	1	3	2	5	4	1588.000	1892.000	2190.000	2478.000	2750.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	23	1	5	1000	133020.000	133020.953	134	20.953	3	2	4	5	1	32451	0	1000	1216.000	610.000	0	3	2	4	5	1	1614.000	1872.000	2144.000	2390.000	2666.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	24	0	5	1000	138020.000	138020.964	139	20.964	1	4	5	2	3	14523	0	1000	1296.000	558.000	0	1	4	5	2	3	1562.000	1892.000	2178.000	2442.000	2724.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	25	0	5	1000	143020.000	143020.964	144	20.964	1	3	2	5	4	13254	0	1000	1230.000	574.000	0	1	3	2	5	4	1578.000	1862.000	2140.000	2390.000	2682.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	26	1	5	1000	148020.000	148020.965	149	20.965	3	5	1	2	4	35124	0	1000	1228.000	568.000	0	3	5	1	2	4	1572.000	1882.000	2162.000	2424.000	2690.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	27	1	5	1000	153020.000	153020.964	154	20.964	1	3	2	5	4	13254	0	1000	1244.000	496.000	0	1	3	2	5	4	1500.000	1804.000	2050.000	2326.000	2616.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	28	0	5	1000	158020.000	158020.951	159	20.951	3	5	1	2	4	35124	0	1000	1184.000	598.000	0	3	5	1	2	4	1602.000	1854.000	2140.000	2394.000	2654.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	29	1	5	1000	163020.000	163020.939	164	20.939	1	4	5	2	3	14523	0	1000	1304.000	622.000	0	1	4	5	2	3	1626.000	2014.000	2278.000	2534.000	2806.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	30	1	5	1000	168020.000	168020.953	169	20.953	3	5	1	2	4	35124	0	1000	1140.000	722.000	0	3	5	1	2	4	1726.000	1954.000	2232.000	2484.000	2720.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	31	0	5	1000	173020.000	173020.951	174	20.951	1	3	2	5	4	13254	0	1000	1220.000	600.000	0	1	3	2	5	4	1604.000	1896.000	2158.000	2428.000	2694.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	32	0	5	1000	178020.000	178020.951	179	20.951	1	3	2	5	4	13254	0	1000	1598.000	580.000	0	1	3	2	5	4	1584.000	1866.000	2338.000	2652.000	3060.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	33	0	5	1000	183020.000	183021.043	184	21.043	3	5	1	2	4	35124	0	1000	1190.000	630.000	0	3	5	1	2	4	1634.000	1860.000	2174.000	2422.000	2702.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	34	1	5	1000	188020.000	188020.956	189	20.956	3	2	4	5	1	32451	0	16000	1144.000	608.000	0	3	2	4	5	1	1612.000	1846.000	2116.000	2370.000	2632.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	35	1	5	1000	208020.000	208020.963	209	20.963	3	2	4	5	1	32451	0	1000	1250.000	854.000	0	3	2	4	5	1	1858.000	2130.000	2424.000	2676.000	2990.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	36	1	5	1000	213020.000	213020.955	214	20.955	1	4	5	2	3	14523	0	1000	1192.000	816.000	0	1	4	5	2	3	1820.000	2138.000	2368.000	2630.000	2904.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	37	0	5	1000	218020.000	218020.964	219	20.964	3	5	1	2	4	35124	0	1000	1078.000	770.000	0	3	5	1	2	4	1774.000	2014.000	2268.000	2500.000	2748.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	38	0	5	1000	223020.000	223020.944	224	20.944	3	5	1	2	4	35124	0	1000	1110.000	728.000	0	3	5	1	2	4	1732.000	1970.000	2238.000	2480.000	2722.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	39	0	5	1000	228020.000	228020.962	229	20.962	1	3	2	5	4	13254	0	1000	1368.000	748.000	0	1	3	2	5	4	1752.000	2022.000	2502.000	2746.000	3012.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
