BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	1	0	5	1000	8020.000	8021.009	9	21.009	3	2	4	5	1	32451	0	1000	0.000	946.000	1	1	5	0	0	0	1950.000	2404.000	0.000	0.000	0.000	6000.000	5000.000	0	1.000	1.000	1.000	1.000	1.000	-842150451	
1	2	1	5	1000	13020.000	13020.979	14	20.979	3	5	1	2	4	35124	0	1000	1294.000	594.000	0	3	5	1	2	4	1598.000	1894.000	2180.000	2486.000	2736.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	3	1	5	1000	18020.000	18020.989	19	20.989	3	2	4	5	1	32451	0	1000	1160.000	242.000	0	3	2	4	5	1	1246.000	1566.000	1818.000	2056.000	2254.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	4	1	5	1000	23020.000	23020.978	24	20.978	3	2	4	5	1	32451	0	1000	1110.000	322.000	0	3	2	4	5	1	1326.000	1648.000	1894.000	2098.000	2282.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	5	0	5	1000	28020.000	28020.989	29	20.989	3	2	4	5	1	32451	0	1000	1440.000	70.000	0	3	2	4	5	1	1074.000	1402.000	1924.000	2154.000	2382.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	6	0	5	1000	33020.000	33020.967	34	20.967	1	4	5	2	3	14523	0	1000	1162.000	358.000	0	1	4	5	2	3	1362.000	1650.000	1932.000	2188.000	2398.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	7	1	5	1000	38020.000	38020.989	39	20.989	1	3	2	5	4	13254	0	1000	998.000	324.000	0	1	3	2	5	4	1328.000	1572.000	1804.000	2020.000	2220.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	8	0	5	1000	43020.000	43020.990	44	20.990	1	3	2	5	4	13254	0	1000	1372.000	324.000	0	1	3	2	5	4	1328.000	1698.000	2026.000	2306.000	2570.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	9	0	5	1000	48020.000	48020.991	49	20.991	1	4	5	2	3	14523	0	1000	1322.000	550.000	0	1	4	5	2	3	1554.000	1900.000	2194.000	2494.000	2724.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	10	1	5	1000	53020.000	53020.995	54	20.995	3	5	1	2	4	35124	0	1000	1168.000	310.000	0	3	5	1	2	4	1314.000	1622.000	1896.000	2122.000	2358.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	11	0	5	1000	58020.000	58020.977	59	20.977	3	2	4	5	1	32451	0	1000	1138.000	368.000	0	3	2	4	5	1	1372.000	1668.000	1930.000	2178.000	2398.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	12	1	5	1000	63020.000	63020.997	64	20.997	1	3	2	5	4	13254	0	1000	1014.000	826.000	0	1	3	2	5	4	1830.000	2130.000	2376.000	2582.000	2762.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	13	1	5	1000	68020.000	68020.966	69	20.966	3	2	4	5	1	32451	0	1000	1014.000	378.000	0	3	2	4	5	1	1382.000	1648.000	1860.000	2074.000	2266.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	14	1	5	1000	73020.000	73020.982	74	20.982	1	3	2	5	4	13254	0	1000	924.000	314.000	0	1	3	2	5	4	1318.000	1564.000	1778.000	1976.000	2156.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	15	1	5	1000	78020.000	78020.975	79	20.975	1	4	5	2	3	14523	0	1000	874.000	370.000	0	1	4	5	2	3	1374.000	1646.000	1848.000	2014.000	2124.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	16	1	5	1000	83020.000	83020.998	84	20.998	3	2	4	5	1	32451	0	1000	1106.000	402.000	0	3	2	4	5	1	1406.000	1646.000	1878.000	2128.000	2380.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	17	1	5	1000	88020.000	88020.969	89	20.969	1	4	5	2	3	14523	0	16000	1224.000	364.000	0	1	4	5	2	3	1368.000	1638.000	1926.000	2202.000	2464.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	18	1	5	1000	108020.000	108020.975	109	20.975	1	4	5	2	3	14523	0	1000	930.000	736.000	0	1	4	5	2	3	1740.000	2004.000	2220.000	2406.000	2568.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	19	0	5	1000	113020.000	113020.987	114	20.987	3	5	1	2	4	35124	0	1000	1216.000	398.000	0	3	5	1	2	4	1402.000	1676.000	1966.000	2218.000	2504.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	20	1	5	1000	118020.000	118020.978	119	20.978	1	4	5	2	3	14523	0	1000	980.000	686.000	0	1	4	5	2	3	1690.000	1976.000	2202.000	2400.000	2558.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	21	0	5	1000	123020.000	123020.993	124	20.993	1	3	2	5	4	13254	0	1000	1072.000	368.000	0	1	3	2	5	4	1372.000	1638.000	1850.000	2088.000	2320.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	22	0	5	1000	128020.000	128020.977	129	20.977	3	2	4	5	1	32451	0	1000	1112.000	414.000	0	3	2	4	5	1	1418.000	1694.000	1962.000	2198.000	2420.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	23	0	5	1000	133020.000	133020.986	134	20.986	1	3	2	5	4	13254	0	1000	1214.000	436.000	0	1	3	2	5	4	1440.000	1754.000	2056.000	2320.000	2558.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	24	1	5	1000	138020.000	138020.988	139	20.988	3	5	1	2	4	35124	0	1000	1060.000	378.000	0	3	5	1	2	4	1382.000	1634.000	1888.000	2116.000	2358.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	25	0	5	1000	143020.000	143020.999	144	20.999	1	3	2	5	4	13254	0	1000	1102.000	322.000	0	1	3	2	5	4	1326.000	1578.000	1832.000	2082.000	2328.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	26	1	5	1000	148020.000	148020.965	149	20.965	1	4	5	2	3	14523	0	1000	1132.000	358.000	0	1	4	5	2	3	1362.000	1652.000	1912.000	2168.000	2388.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	27	1	5	1000	153020.000	153020.964	154	20.964	1	4	5	2	3	14523	0	1000	910.000	732.000	0	1	4	5	2	3	1736.000	1980.000	2168.000	2388.000	2526.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	28	0	5	1000	158020.000	158020.978	159	20.978	1	4	5	2	3	14523	0	1000	1112.000	860.000	0	1	4	5	2	3	1864.000	2098.000	2358.000	2596.000	2850.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	29	0	5	1000	163020.000	163020.977	164	20.977	1	3	2	5	4	13254	0	1000	1210.000	348.000	0	1	3	2	5	4	1352.000	1642.000	1914.000	2190.000	2472.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	30	1	5	1000	168020.000	168020.976	169	20.976	1	3	2	5	4	13254	0	1000	1296.000	402.000	0	1	3	2	5	4	1406.000	1672.000	1972.000	2280.000	2570.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	31	1	5	1000	173020.000	173020.990	174	20.990	1	3	2	5	4	13254	0	1000	1130.000	382.000	0	1	3	2	5	4	1386.000	1636.000	1916.000	2170.000	2430.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	32	0	5	1000	178020.000	178020.990	179	20.990	3	2	4	5	1	32451	0	1000	1086.000	362.000	0	3	2	4	5	1	1366.000	1662.000	1892.000	2140.000	2366.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	33	1	5	1000	183020.000	183020.989	184	20.989	3	2	4	5	1	32451	0	1000	954.000	316.000	0	3	2	4	5	1	1320.000	1558.000	1792.000	1984.000	2166.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	34	0	5	1000	188020.000	188020.955	189	20.955	1	4	5	2	3	14523	0	16000	1218.000	364.000	0	1	4	5	2	3	1368.000	1658.000	1930.000	2196.000	2468.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
