BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	1	1	5	1000	8020.000	8020.996	9	20.996	1	3	2	5	4	13254	0	1000	1436.000	938.000	0	1	3	2	5	4	1942.000	2348.000	2652.000	2910.000	3184.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	2	0	5	1000	13020.000	13021.014	14	21.014	1	3	2	5	4	13254	0	1000	1480.000	428.000	0	1	3	2	5	4	1432.000	1928.000	2222.000	2438.000	2694.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	3	0	5	1000	18020.000	18021.004	19	21.004	1	4	5	2	3	14523	0	1000	1346.000	334.000	0	1	4	5	2	3	1832.000	2148.000	2462.000	2770.000	2966.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	4	0	5	1000	23020.000	23021.006	24	21.006	1	3	2	5	4	13254	0	1000	1264.000	280.000	0	1	3	2	5	4	1284.000	1604.000	1888.000	2118.000	2370.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	5	1	5	1000	28020.000	28021.001	29	21.001	1	4	5	2	3	14523	0	1000	1230.000	580.000	0	1	4	5	2	3	1584.000	1858.000	2100.000	2380.000	2648.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	6	0	5	1000	33020.000	33020.983	34	20.983	3	5	1	2	4	35124	0	1000	1378.000	514.000	0	3	5	1	2	4	1518.000	1828.000	2104.000	2408.000	2686.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	7	1	5	1000	38020.000	38020.981	39	20.981	1	4	5	2	3	14523	0	1000	1240.000	302.000	0	1	4	5	2	3	1306.000	1600.000	1836.000	2108.000	2386.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	8	1	5	1000	43020.000	43021.000	44	21.000	3	2	4	5	1	32451	0	1000	1234.000	290.000	0	3	2	4	5	1	1294.000	1552.000	1806.000	2052.000	2276.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	9	1	5	1000	48020.000	48021.013	49	21.013	3	5	1	2	4	35124	0	1000	1242.000	322.000	0	3	5	1	2	4	1326.000	1556.000	1806.000	2092.000	2354.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	10	1	5	1000	53020.000	53021.002	54	21.002	3	5	1	2	4	35124	0	1000	1144.000	292.000	0	3	5	1	2	4	1296.000	1508.000	1730.000	1976.000	2198.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	11	0	5	1000	58020.000	58021.006	59	21.006	1	4	5	2	3	14523	0	1000	1208.000	394.000	0	1	4	5	2	3	1398.000	1670.000	1920.000	2158.000	2436.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
