BN	TN	seqType	Horizon	PrepTime	startTime	startTimeReal	startTRReal	startTRtime	press0	press1	press2	press3	press4	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	timeThreshold	timeThresholdSuper	points	Gain1	Gain2	Gain3	Gain4	Gain5	
1	1	1	5	1000	8020.000	8020.981	9	20.981	3	5	1	2	4	35124	0	1000	1412.000	1118.000	0	3	5	1	2	4	2122.000	2478.000	2750.000	3070.000	3306.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	2	1	5	1000	13020.000	13021.020	14	21.020	3	5	1	2	4	35124	0	1000	1172.000	328.000	0	3	5	1	2	4	1332.000	1556.000	1808.000	2068.000	2300.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	3	1	5	1000	18020.000	18020.951	19	20.951	1	4	5	2	3	14523	0	1000	1164.000	308.000	0	1	4	5	2	3	1312.000	1546.000	1800.000	2064.000	2320.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	4	0	5	1000	23020.000	23020.967	24	20.967	1	4	5	2	3	14523	0	1000	1206.000	302.000	0	1	4	5	2	3	1306.000	1570.000	1820.000	2090.000	2346.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	5	0	5	1000	28020.000	28020.981	29	20.981	3	5	1	2	4	35124	0	1000	1188.000	404.000	0	3	5	1	2	4	1408.000	1676.000	1926.000	2174.000	2414.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	6	0	5	1000	33020.000	33020.972	34	20.972	1	3	2	5	4	13254	0	1000	1142.000	394.000	0	1	3	2	5	4	1398.000	1660.000	1930.000	2146.000	2382.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	7	1	5	1000	38020.000	38020.984	39	20.984	3	5	1	2	4	35124	0	1000	1070.000	298.000	0	3	5	1	2	4	1302.000	1530.000	1744.000	1984.000	2192.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	8	0	5	1000	43020.000	43020.969	44	20.969	1	4	5	2	3	14523	0	1000	1170.000	254.000	0	1	4	5	2	3	1258.000	1506.000	1744.000	2004.000	2258.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	9	0	5	1000	48020.000	48021.004	49	21.004	3	2	4	5	1	32451	0	1000	1090.000	286.000	0	3	2	4	5	1	1290.000	1546.000	1788.000	2024.000	2262.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
1	10	1	5	1000	53020.000	53021.006	54	21.006	1	3	2	5	4	13254	0	1000	1076.000	340.000	0	1	3	2	5	4	1344.000	1554.000	1808.000	2044.000	2276.000	6000.000	5000.000	1	1.000	1.000	1.000	1.000	1.000	-842150451	
